pipes,hq-short,cfs-short,opt-short,hq-mid,cfs-mid,opt-mid,hq-long,cfs-long,opt-long,Ehq-short,Ecfs-short,Eopt-short,Ehq-mid,Ecfs-mid,Eopt-mid,Ehq-long,Ecfs-long,Eopt-long,Chq-short,Ccfs-short,Copt-short,Chq-mid,Ccfs-mid,Copt-mid,Chq-long,Ccfs-long,Copt-long,ELhq-short,ELcfs-short,ELopt-short,ELhq-mid,ELcfs-mid,ELopt-mid,ELhq-long,ELcfs-long,ELopt-long,ERhq-short,ERcfs-short,ERopt-short,ERhq-mid,ERcfs-mid,ERopt-mid,ERhq-long,ERcfs-long,ERopt-long,speedUpHQ-short,speedUpHQ-mid,speedUpHQ-long,speedUpCFS-short,speedUpCFS-mid,speedUpCFS-long
1,0.00434,0.00003,0.008230000000000001,0.004320000000000001,0.00101,0.007980000000000001,0.064,0.06008,0.0671,0.00016973084724968349,0.000044188809809801334,0.0004899883373501099,0.00015923763267804408,0.00001984216951586397,0.00045995044879754837,0.,0.00009216630621780575,0.0005558813040785343,100,100,100,100,100,100,100,100,100,0.004170269152750317,-0.000014188809809801333,0.007740011662649891,0.004160762367321957,0.000990157830484136,0.007520049551202452,0.064,0.059987833693782196,0.06654411869592147,0.004509730847249684,0.00007418880980980133,0.008719988337350111,0.004479237632678045,0.001029842169515864,0.00843995044879755,0.064,0.06017216630621781,0.06765588130407854,0.5273390036452005,0.5413533834586467,0.953800298062593,0.003645200486026731,0.12656641604010024,0.8953800298062592
2,0.00524,0.01306,0.0075,0.00508,0.01429,0.0077,0.18088,0.17799999999999996,0.1265,0.00014686942639349342,0.0017354970795963008,0.0003482743400593895,0.0001313155615030575,0.0015519783045372625,0.0002883000391341803,0.00012057982571800352,0.000624924141381461,0.0003448316755789993,100,100,100,100,100,100,100,100,100,0.0050931305736065064,0.0113245029204037,0.007151725659940611,0.004948684438496943,0.01273802169546274,0.00741169996086582,0.180759420174282,0.1773750758586185,0.126155168324421,0.005386869426393493,0.014795497079596301,0.00784827434005939,0.005211315561503058,0.015841978304537263,0.00798830003913418,0.18100057982571802,0.17862492414138142,0.126844831675579,0.6986666666666667,0.6597402597402597,1.4298814229249013,1.7413333333333336,1.8558441558441559,1.4071146245059285
4,0.006410000000000002,0.03673,0.00792,0.01148,0.03565,0.010169999999999998,0.59449,0.60386,0.24502000000000002,0.00021680132125904104,0.00490939900189305,0.0002829815750848841,0.0001772046557775922,0.004710766482802518,0.00023436034082330304,0.0004969513349889487,0.002438494516874612,0.00040867260091692614,100,100,100,100,100,100,100,100,100,0.006193198678740961,0.03182060099810695,0.007637018424915116,0.011302795344222408,0.030939233517197483,0.009935639659176695,0.593993048665011,0.6014215054831253,0.2446113273990831,0.006626801321259043,0.04163939900189305,0.008202981575084884,0.011657204655777593,0.04036076648280252,0.010404360340823302,0.5949869513349889,0.6062984945168746,0.24542867260091694,0.8093434343434346,1.1288102261553592,2.4262917312872414,4.637626262626263,3.5054080629301874,2.4645335074687775
8,0.025730000000000003,0.10082,0.00752,0.036750000000000005,0.11571,0.01347,2.13389,2.17643,0.48400999999999994,0.000672647211237061,0.011563801081817468,0.000305681056037471,0.0007420911378083622,0.011260341184800085,0.000323351671935616,0.000795636034734315,0.005599461601011768,0.0005594434136773074,100,100,100,100,100,100,100,100,100,0.025057352788762942,0.08925619891818254,0.007214318943962529,0.03600790886219164,0.1044496588151999,0.013146648328064383,2.1330943639652657,2.170830538398988,0.48345055658632263,0.026402647211237064,0.11238380108181747,0.00782568105603747,0.03749209113780837,0.12697034118480008,0.013793351671935615,2.1346856360347344,2.1820294616010116,0.48456944341367725,3.42154255319149,2.7282850779510026,4.408772546021777,13.406914893617024,8.590200445434299,4.496663292080743
16,0.11085,0.35479,0.00849,0.16252,0.33009,0.02221,8.07756,8.0123,0.9604900000000001,0.0012297602350349046,0.03061657199732193,0.00047735896101134927,0.0021362257633457116,0.03499929835717186,0.00041573005498728166,0.002038261365630234,0.012829952320204896,0.0008491203760188082,100,100,100,100,100,100,100,100,100,0.1096202397649651,0.32417342800267807,0.00801264103898865,0.1603837742366543,0.29509070164282813,0.02179426994501272,8.07552173863437,7.999470047679795,0.9596408796239813,0.11207976023503491,0.3854065719973219,0.008967358961011349,0.1646562257633457,0.36508929835717185,0.022625730054987282,8.07959826136563,8.025129952320205,0.9613391203760189,13.0565371024735,7.3174245835209355,8.40983248133765,41.78916372202592,14.862224223322826,8.341887994669387
32,0.47191000000000005,1.2368999999999999,0.0076500000000000005,0.6986100000000001,1.0910600000000001,0.036340000000000004,31.411109999999997,30.658729999999995,1.9148699999999999,0.0020618841983767178,0.10429629688104924,0.00045595142675085645,0.00450947049827477,0.09445402296077465,0.00045755783722363497,0.0055421111528914935,0.027749786288747913,0.0012758771996421725,100,100,100,100,100,100,100,100,100,0.46984811580162333,1.1326037031189506,0.007194048573249145,0.6941005295017253,0.9966059770392255,0.03588244216277637,31.405567888847106,30.630980213711247,1.9135941228003577,0.47397188419837677,1.3411962968810491,0.008105951426750857,0.7031194704982748,1.1855140229607748,0.03679755783722364,31.41665211115289,30.686479786288743,1.916145877199642,61.68758169934641,19.224270776004403,16.403781979977754,161.6862745098039,30.023665382498624,16.01086757847791
64,2.4478899999999997,4.62357,0.014910000000000001,2.9418999999999995,4.404990000000001,0.07094,123.94185999999999,119.76659,3.83198,0.0867457191019505,0.3490955679115819,0.001163190482820457,0.016383246263110163,0.3391108452470606,0.0009821656273697604,0.01626045727705616,0.07801427338172573,0.0022535454774690322,100,100,100,100,100,100,100,100,100,2.361144280898049,4.274474432088418,0.013746809517179544,2.9255167537368894,4.06587915475294,0.06995783437263024,123.92559954272294,119.68857572661827,3.829726454522531,2.53463571910195,4.972665567911582,0.01607319048282046,2.9582832462631097,4.744100845247061,0.07192216562736976,123.95812045727705,119.84460427338172,3.834233545477469,164.17773306505697,41.47025655483507,32.344077996231704,310.09859154929575,62.09458697490838,31.25449245559736
128,11.63169,17.890500000000003,0.03161,11.64799,17.94131,0.14478,491.79062,473.26673999999997,7.68606,0.09125132314210482,1.3189793463985637,0.0028244555824635115,0.07090298578604681,1.3142378933053607,0.002703549885682305,0.045951271691990314,0.19591970013311766,0.003976824883858754,100,100,100,100,100,100,100,100,100,11.540438676857896,16.57152065360144,0.028785544417536488,11.577087014213953,16.62707210669464,0.1420764501143177,491.744668728308,473.07082029986685,7.682083175116142,11.722941323142106,19.209479346398567,0.03443445558246351,11.718892985786047,19.255547893305362,0.1474835498856823,491.836571271692,473.4626597001331,7.690036824883859,367.9750079088896,80.45303218676614,63.98474901314848,565.9759569756408,123.92119077220613,61.57468716091209
