pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__schedule,__fw_release,activate_task,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__schedule,E__fw_release,Eactivate_task,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__schedule,C__fw_release,Cactivate_task,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__schedule,EL__fw_release,ELactivate_task,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__schedule,ER__fw_release,ERactivate_task
4,2.2710268475890476e7,1.7061454385964912e8,1.7306769086481407e8,1.4408158286921856e8,2.4231967897184056e8,20500.,1.4205547568231848e8,975828.0405931287,331169.1948376298,428025.8143287003,353503.6603346169,547131.4331256151,0.,353468.7340402305,4127,443916,202240,237549,524549,4004,241676,2.1734440435297348e7,1.702833746648115e8,1.7263966505048537e8,1.4372807920888394e8,2.4177254753871495e8,20500.,1.4170200694827825e8,2.3686096516483605e7,1.7094571305448675e8,1.7349571667914277e8,1.4443508652955317e8,2.4286681040496618e8,20500.,1.424089444163587e8
5,1.9699714562636297e7,1.1817475872100696e8,1.1843919563449769e8,1.0128077726291773e8,1.438549137728974e8,20500.,9.939434975083819e7,482660.19821086526,387460.8962301761,533279.7645990252,304879.1602358073,511106.86785930395,0.,303519.52013775706,4127,265193,91009,170057,343871,4004,174184,1.9217054364425432e7,1.1778729782477678e8,1.1790591586989866e8,1.0097589810268192e8,1.433438069050381e8,20500.,9.909083023070043e7,2.0182374760847162e7,1.1856221961723714e8,1.1897247539909671e8,1.0158565642315353e8,1.443660206407567e8,20500.,9.969786927097595e7
6,1.9885900508967523e7,9.032878482087131e7,8.986576735680635e7,7.809690745380744e7,9.92917123972254e7,20500.,7.647333162857322e7,502624.3430291563,429707.5443726629,625008.8501715213,259275.55993711948,477831.9974747747,0.,257200.19004791975,4126,200275,56462,139687,276941,4004,143813,1.9383276165938366e7,8.989907727649865e7,8.924075850663483e7,7.783763189387032e7,9.881388039975062e7,20500.,7.62161314385253e7,2.038852485199668e7,9.075849236524397e7,9.049077620697787e7,7.835618301374456e7,9.976954439470017e7,20500.,7.673053181862114e7
7,1.8745115971885603e7,7.317304291423452e7,6.838348022440393e7,6.1485400153244816e7,7.032577965913558e7,20500.,5.988732254334182e7,250595.94046908617,524699.2174824029,728184.9602296054,237376.6625442356,480460.6475894451,0.,233685.4907407388,4126,142878,35650,103103,216215,4004,107229,1.8494520031416517e7,7.264834369675212e7,6.765529526417433e7,6.124802349070058e7,6.984531901154613e7,20500.,5.9653637052601084e7,1.899571191235469e7,7.369774213171692e7,6.911166518463354e7,6.172277681578905e7,7.080624030672503e7,20500.,6.012100803408256e7
8,1.832364271868185e7,6.279554935058558e7,5.5905541237675995e7,5.059131969439354e7,5.5227333598970145e7,20500.,4.923161803993622e7,155957.88433571905,595297.4635081142,831458.7730808631,210877.76260228455,483006.74600975215,0.,206117.7466277182,4127,122187,27487,90574,195756,4004,94701,1.816768483434613e7,6.2200251887077466e7,5.507408246459513e7,5.038044193179125e7,5.474432685296039e7,20500.,4.9025500293308504e7,1.847960060301757e7,6.3390846814093694e7,5.673700001075686e7,5.080219745699582e7,5.57103403449799e7,20500.,4.943773578656394e7
9,1.839249115580325e7,5.850632664607511e7,4.936615830861867e7,4.292150107926854e7,4.641355759174472e7,20500.,4.166662780891654e7,178384.34893065318,736169.8392281011,994914.6680647582,194916.9789256826,529214.9104434922,0.,188813.28056435287,4127,100041,22254,73661,172108,4004,77788,1.8214106806872595e7,5.7770156806847006e7,4.8371243640553914e7,4.2726584100342855e7,4.588434268130123e7,20500.,4.1477814528352186e7,1.85708755047339e7,5.924249648530321e7,5.036107297668343e7,4.311641805819422e7,4.694277250218821e7,20500.,4.185544108948089e7
10,1.810832658749394e7,5.2542119550144784e7,4.191220638380316e7,3.932213582975241e7,4.101916650708654e7,20500.,3.823823357569966e7,132055.63222496957,695426.2549591586,877510.6548372433,171381.68220973015,487391.0875053853,0.,165833.12886386365,4126,98076,20646,73305,169194,4004,77431,1.797627095526897e7,5.1846693295185626e7,4.1034695728965916e7,3.915075414754268e7,4.053177541958115e7,20500.,3.807240044683579e7,1.824038221971891e7,5.323754580510394e7,4.27897170386404e7,3.949351751196214e7,4.150655759459192e7,20500.,3.840406670456352e7
12,1.7870284831596803e7,4.92334658479908e7,3.4851382414332926e7,3.262611454728708e7,3.426103972931096e7,20500.,3.1715967057825536e7,72666.75483083725,816553.1973791271,904490.0512163714,152960.6472766623,510590.3672115505,0.,145877.8149738945,4127,80903,17247,59530,151022,4004,63657,1.7797618076765966e7,4.841691265061168e7,3.3946892363116555e7,3.247315390001042e7,3.375044936209941e7,20500.,3.157008924285164e7,1.794295158642764e7,5.005001904536993e7,3.57558724655493e7,3.2779075194563743e7,3.477163009652251e7,20500.,3.186184487279943e7
14,1.78423526774897e7,4.658538340641805e7,3.1160822929658268e7,2.847157859912882e7,3.068993201541911e7,20500.,2.776867967575509e7,63076.280680622905,873318.5321052298,901257.1437327825,126002.1121215187,516639.66200889647,0.,119257.54089035839,4127,74571,16036,54409,144496,4004,58536,1.777927639680908e7,4.571206487431282e7,3.0259565785925485e7,2.83455764870073e7,3.0173292353410214e7,20500.,2.7649422134864733e7,1.7905428958170325e7,4.745870193852328e7,3.206208007339105e7,2.859758071125034e7,3.1206571677428007e7,20500.,2.788793721664545e7
16,1.7740420402229223e7,4.539364185021396e7,2.87855138795537e7,2.597542161237689e7,2.844420517530291e7,20500.,2.5403952123790823e7,40554.02410950139,916779.762360096,907935.1248683222,114923.1787562333,520609.71322228014,0.,107877.30555064231,4127,69873,14878,50869,139644,4004,54996,1.7699866378119722e7,4.4476862087853864e7,2.787757875468538e7,2.5860498433620658e7,2.792359546208063e7,20500.,2.529607481824018e7,1.7780974426338725e7,4.6310421612574056e7,2.9693449004422024e7,2.6090344791133124e7,2.896481488852519e7,20500.,2.5511829429341465e7
