pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__schedule,__fw_release,activate_task,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__schedule,E__fw_release,Eactivate_task,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__schedule,C__fw_release,Cactivate_task,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__schedule,EL__fw_release,ELactivate_task,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__schedule,ER__fw_release,ERactivate_task
20,1.7654749212503027e7,4.393678343555474e7,2.5603234437464304e7,2.283778801940519e7,2.605377158908981e7,20500.,2.2469238333624385e7,19797.56833935529,977433.0757538006,822309.9011891149,94404.62793824822,525789.2493811361,0.,87704.12835804373,4127,65544,14008,47410,135543,4004,51537,1.7634951644163672e7,4.295935035980094e7,2.478092453627519e7,2.274338339146694e7,2.5527982339708675e7,20500.,2.238153420526634e7,1.7674546780842382e7,4.491421651130854e7,2.642554433865342e7,2.2932192647343438e7,2.6579560838470947e7,20500.,2.255694246198243e7
24,1.7667430215653017e7,4.256624629901307e7,2.3804206146304674e7,2.1261370149534028e7,2.3897859343438238e7,20500.,2.09904410927535e7,24162.0258407183,986614.1749590337,729661.3459479213,82877.66626847535,505139.3338122219,0.,76151.01794029772,4127,59984,13260,42599,129706,4004,46726,1.76432681898123e7,4.157963212405404e7,2.3074544800356753e7,2.1178492483265553e7,2.3392720009626016e7,20500.,2.0914290074813202e7,1.7691592241493735e7,4.3552860473972104e7,2.4533867492252596e7,2.1344247815802503e7,2.440299867725046e7,20500.,2.1066592110693797e7
28,1.7658775933107127e7,4.557318503159558e7,2.313069528869443e7,1.960576546939226e7,2.343197493549726e7,20500.,1.945329881114551e7,22072.578177012503,1.1323383141162395e6,773323.9018372707,67832.93631596118,541633.131665498,0.,61213.30508542806,4126,53172,12799,36249,122863,4004,40375,1.7636703354930114e7,4.444084671747934e7,2.235737138685716e7,1.9537932533076297e7,2.2890341803831764e7,20500.,1.9392085506060082e7,1.768084851128414e7,4.670552334571182e7,2.39040191905317e7,1.967359840570822e7,2.397360806716276e7,20500.,1.951451211623094e7
32,1.765238378574891e7,4.388857985213896e7,2.2085261449342974e7,1.9382068246347632e7,2.3205810438969176e7,20500.,1.926208793272371e7,20070.935258708894,1.0863433493169323e6,686631.0557885282,62057.87610379979,528044.7208109014,0.,56325.2840590775,4126,55728,12861,38742,125453,4004,42868,1.76323128504902e7,4.280223650282203e7,2.1398630393554445e7,1.9320010370243832e7,2.2677765718158275e7,20500.,1.920576264866463e7,1.767245472100762e7,4.497492320145589e7,2.27718925051315e7,1.9444126122451432e7,2.3733855159780078e7,20500.,1.9318413216782786e7
40,1.7652942209837653e7,4.0717182278834894e7,2.0946116824607737e7,1.906827543436653e7,2.200242102670408e7,20500.,1.8983095011046484e7,20172.309140637517,997303.6174468622,573911.8362878673,48249.94259333983,489320.3520203717,0.,43967.6631806232,4127,57231,12874,40231,126872,4004,44358,1.7632769900697015e7,3.971987866138803e7,2.037220498831987e7,1.902002549177319e7,2.151310067468371e7,20500.,1.893912734786586e7,1.767311451897829e7,4.171448589628176e7,2.1520028660895605e7,1.911652537695987e7,2.2491741378724452e7,20500.,1.9027062674227107e7
48,1.763689205233826e7,4.157415275078555e7,2.0705425121721376e7,1.8688142468192052e7,2.191217490497346e7,20500.,1.863213779090372e7,15610.119266521186,1.0323761891252697e6,569735.2891794145,46737.79630600661,495736.3191517219,0.,42312.20580904558,4127,55057,12734,38198,124702,4004,42325,1.762128193307174e7,4.054177656166028e7,2.013568983254196e7,1.8641404671886045e7,2.1416438585821737e7,20500.,1.8589825585094675e7,1.7652502171604782e7,4.260652893991082e7,2.127516041090079e7,1.873488026449806e7,2.240791122412518e7,20500.,1.8674449996712767e7
56,1.763540753756665e7,4.3048273762385614e7,2.040620888906637e7,1.827749943271439e7,2.1946968334818617e7,20500.,1.8258200283138365e7,16118.917745769024,1.0943054830733761e6,582635.1133205816,44826.42585050687,512959.53116538003,0.,40311.36014757678,4126,52783,12521,36137,122311,4004,40263,1.761928861982088e7,4.195396827931224e7,1.9823573775745787e7,1.8232673006863885e7,2.1434008803653236e7,20500.,1.8217888922990788e7,1.765152645531242e7,4.414257924545899e7,2.098884400238695e7,1.83223258585649e7,2.2459927865983997e7,20500.,1.829851164328594e7
64,1.7634710685728133e7,4.1948006720151015e7,1.9510693776464008e7,1.808559154464384e7,2.1317014513234086e7,20500.,1.8086099668800514e7,15317.073189288378,1.0657777720203772e6,463900.8973771632,48176.598455723375,494923.21353681386,0.,43310.761854700744,4127,52975,12517,36332,123129,4004,40459,1.7619393612538844e7,4.088222894813064e7,1.9046792879086845e7,1.803741494618812e7,2.0822091299697272e7,20500.,1.8042788906945813e7,1.765002775891742e7,4.301378449217139e7,1.997459467384117e7,1.8133768143099565e7,2.18119377267709e7,20500.,1.8129410430655215e7
80,1.763280348921735e7,4.226385093107336e7,1.946370479734649e7,1.7891904631139334e7,2.1065871369635608e7,20500.,1.7911046743079364e7,15590.621827736497,1.0797488394821584e6,478585.8533862643,40915.82304099947,493965.362387605,0.,36640.910864230245,4127,51446,12361,34959,121682,4004,39086,1.7617212867389612e7,4.11841020915912e7,1.8985118943960227e7,1.7850988808098335e7,2.0571906007248003e7,20500.,1.7874405832215134e7,1.7648394111045085e7,4.334359977055552e7,1.9942290650732756e7,1.7932820454180334e7,2.1559836732023213e7,20500.,1.7947687653943595e7
96,1.7632923188756965e7,4.330798036588208e7,1.9422435486475576e7,1.777484634076615e7,2.1594505791442174e7,20500.,1.7806369051576443e7,15322.38390835002,1.1128976616997123e6,485484.76677967235,43591.08692443743,509740.75059868395,0.,39026.55855736509,4127,51492,12385,34980,121386,4004,39107,1.7617600804848615e7,4.2195082704182364e7,1.8936950719695903e7,1.7731255253841713e7,2.108476504084349e7,20500.,1.7767342493019078e7,1.7648245572665315e7,4.442087802758179e7,1.9907920253255248e7,1.7818437427690588e7,2.210424654204086e7,20500.,1.7845395610133808e7
112,1.7617232913233157e7,4.394023137825174e7,1.9381960972436782e7,1.7602194215250704e7,2.054323924776522e7,20500.,1.7650361634375084e7,12887.98861054331,1.1396038636869714e6,486698.1859652065,21351.487851269543,490539.66197295114,0.,19037.752858780324,4126,49512,12299,33087,124509,4004,37213,1.7604344924622614e7,4.280062751456477e7,1.8895262786471575e7,1.7580842727399435e7,2.005269958579227e7,20500.,1.7631323881516304e7,1.76301209018437e7,4.507983524193871e7,1.986865915840199e7,1.7623545703101974e7,2.103377890973817e7,20500.,1.7669399387233865e7
128,1.761511112457586e7,4.307135934907339e7,1.8463490380696177e7,1.7491604767002705e7,1.9895089303292565e7,20500.,1.7551602693825655e7,12635.028473507613,1.1199381583344117e6,342534.99524692446,25837.764270555228,473680.40842761844,0.,23058.48096781969,4126,50021,12267,33627,126983,4004,37753,1.7602476096102353e7,4.1951421190738976e7,1.8120955385449253e7,1.746576700273215e7,1.9421408894864947e7,20500.,1.7528544212857835e7,1.762774615304937e7,4.41912975074078e7,1.8806025375943102e7,1.751744253127326e7,2.0368769711720183e7,20500.,1.7574661174793474e7
