pipes,fw_request,fw_schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Efw_request,Efw_schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock
2,1.2866687654826872,2.942183182642237,17.26259135216196,290.5300315807411,290.0179874876997,268.971117447907,0.00044830677869223123,0.0010172200131095543,0.12872575505465988,0.11140433676797556,0.12513632631026894,0.2441245662835172
3,1.4320523207190323,3.275762341458411,16.186893526618345,92.84497099347146,82.10216826503924,89.42238043824756,0.0013068664226052462,0.0029224563271421644,0.1025243717705564,0.29624358089157,0.313357958937857,0.36408446629565105
12,1.4594992668650677,3.276184565493066,16.189838790302424,29.571772321793258,28.278600685318874,26.66851924281931,0.0018473064613686585,0.0034007783756999643,0.11781101130150162,0.2651646051434753,0.11138241747961075,0.05903512009577483
16,1.4569899043111108,3.2674593201133146,16.933315421144716,28.628054868254885,27.131839914514547,25.66973324694742,0.0018544984247792495,0.0033656837615230195,0.11653022701334947,0.263234788472662,0.09141895374581566,0.05226870665231331
20,1.3981358579000396,3.270424002079298,16.802128717820548,27.91863254544633,26.06005386471498,25.32363467053035,0.001445176670834547,0.0034202850401201523,0.10635031620159552,0.2615757249437394,0.08906858468439438,0.05121283921239694
24,1.3998089615382734,3.269237637833864,15.806673831542115,27.85921541512591,25.946379347796935,24.877433264639354,0.0014591601316786829,0.0033692847195907483,0.0911645836781485,0.2655955639401135,0.07046170875850066,0.04858211235987042
28,1.4645435829381135,3.3479977314976535,16.440456885778556,28.07585999061914,26.184067141586223,25.72448331933811,0.0016888871248725845,0.003735952369968043,0.12157125279183134,0.2605504265910028,0.07787290327174645,0.049901364313353014
32,1.44879879943362,3.259008449488097,17.32161034741315,27.604910621551273,25.437751921953573,24.503802662658362,0.001750781559224368,0.003359734326787933,0.132743571677171,0.26965209484823305,0.06654118405932863,0.04204455927542483
36,1.452437654919711,3.258667559107011,16.7968640339915,27.569893970755437,25.208963062791245,24.40981422750459,0.0017890666703010982,0.003331110963140649,0.11122321572897675,0.27214427354402204,0.06612825077398199,0.04285908676041217
40,1.4514935052945097,3.256661703325825,16.515402649337663,27.423137492096586,25.175652814588517,24.296389996798478,0.0017667286480149702,0.003349266131146944,0.11400426058267144,0.269537948826283,0.06606207782239082,0.039857772386909573
44,1.4500012775153324,3.2579433714252852,17.662750312421895,27.267943358001887,25.102181927460027,24.22903197364005,0.0017710975576050725,0.003343001224551223,0.13830094049654562,0.2659427781017847,0.06554267918376055,0.03935206811702585
