pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,activate_task,__schedule,__fw_release,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Eactivate_task,E__schedule,E__fw_release,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,Cactivate_task,C__schedule,C__fw_release,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ELactivate_task,EL__schedule,EL__fw_release,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ERactivate_task,ER__schedule,ER__fw_release
12,3.39982989884733e7,1.403845768487581e8,1.584811642872658e8,1.3473293342737883e8,1.3315115363453503e8,1.748042739469612e8,20500.,1.199074880229868e6,272766.5835888982,358113.81217214465,298113.43065312505,297915.64722666144,440055.99129861593,0.,4251,447138,184150,258740,262991,611967,4004,3.2799224108243432e7,1.401118102651692e8,1.5812305047509366e8,1.344348199967257e8,1.3285323798730837e8,1.7436421795566258e8,20500.,3.519737386870317e7,1.40657343432347e8,1.5883927809943795e8,1.3503104685803196e8,1.3344906928176169e8,1.752443299382598e8,20500.
16,2.8118125970359914e7,8.50362801377678e7,1.0324695721661983e8,8.706442171933086e7,8.559821909013529e7,8.332747264733608e7,20500.,435306.2751556374,305604.07288463414,448204.59788390994,262801.4013130069,260200.57921405137,352148.37895563245,0.,4251,235759,70109,161400,165651,388262,4004,2.7682819695204277e7,8.473067606488317e7,1.0279875261873592e8,8.680162031801786e7,8.533801851092124e7,8.297532426838045e7,20500.,2.855343224551555e7,8.534188421065244e7,1.0369516181450374e8,8.732722312064387e7,8.585841966934934e7,8.367962102629171e7,20500.
20,2.545252260804397e7,6.098992504663974e7,7.565864421912833e7,6.5225579287395716e7,6.394033345601459e7,4.9497388942554854e7,20500.,2760.4102281555533,381127.00807686895,498059.4294461906,232734.81187661737,228569.24487946928,311129.00806664675,0.,4003,159199,39648,115548,119551,305387,4004,2.5449762197815813e7,6.060879803856287e7,7.516058478968213e7,6.49928444755191e7,6.371176421113512e7,4.918625993448821e7,20500.,2.5455283018272124e7,6.137105205471661e7,7.615670364857452e7,6.545831409927233e7,6.416890270089406e7,4.98085179506215e7,20500.
24,2.545252260804397e7,4.781548390566022e7,6.0444332627505384e7,5.2426858197772756e7,5.130087936781984e7,3.3241345521177623e7,20500.,2760.4102281555533,443435.42474234104,520541.90893577784,211188.88105481863,205108.79265331477,285479.46836934984,0.,4003,119483,27391,88091,92094,261408,4004,2.5449762197815813e7,4.737204848091788e7,5.992379071856961e7,5.221566931671794e7,5.109577057516652e7,3.2955866052808274e7,20500.,2.5455283018272124e7,4.825891933040256e7,6.096487453644116e7,5.2638047078827575e7,5.150598816047315e7,3.3526824989546973e7,20500.
32,2.545252260804397e7,3.510502054062748e7,4.40787172553348e7,4.0708665453466214e7,3.9857349487658225e7,2.0112896912701685e7,20500.,2760.4102281555533,499555.88593555987,454623.5196975246,167225.35108034313,159680.31125272065,244896.14392454177,0.,4003,87047,19026,64018,68021,225537,4004,2.5449762197815813e7,3.460546465469192e7,4.362409373563728e7,4.054144010238587e7,3.9697669176405504e7,1.9868000768777143e7,20500.,2.5455283018272124e7,3.560457642656304e7,4.453334077503233e7,4.087589080454656e7,4.0017029798910946e7,2.0357793056626227e7,20500.
48,2.545252260804397e7,2.602461579490709e7,3.435966339656965e7,3.2839159478997882e7,3.2394191036167808e7,1.3702865485789511e7,20500.,2760.4102281555533,480253.01958601177,329629.03068663925,114370.15419701114,107769.1425935328,203716.2852809988,0.,4003,75556,15392,56161,60164,212695,4004,2.5449762197815813e7,2.5544362775321078e7,3.403003436588301e7,3.272478932480087e7,3.2286421893574275e7,1.3499149200508513e7,20500.,2.5455283018272124e7,2.65048688144931e7,3.4689292427256286e7,3.2953529633194894e7,3.250196017876134e7,1.390658177107051e7,20500.
64,2.545252285785661e7,2.152688441084082e7,3.0812970457118597e7,2.999950132180481e7,2.9710877966601e7,1.1015012842369286e7,20500.,2760.4094873555005,440263.6943921037,241709.4877208285,86787.26780302823,81009.46762493998,174786.63799167052,0.,4003,68445,14132,50310,54313,204129,4004,2.5449762448369253e7,2.1086620716448717e7,3.057126096939777e7,2.9912714054001782e7,2.962986849897606e7,1.0840226204377616e7,20500.,2.5455283267343964e7,2.1967148105232924e7,3.1054679944839425e7,3.008628858960784e7,2.979188743422594e7,1.1189799480360957e7,20500.
80,2.545252260804397e7,1.706181311163397e7,2.8877955914058436e7,2.871553607305936e7,2.851687216111716e7,9.04180765239374e6,20500.,2760.4102281555533,338959.40717480704,182173.2461396493,73952.02638176829,68784.73550035432,135145.05391539074,0.,4003,66727,13451,49275,53278,203322,4004,2.5449762197815813e7,1.6722853704459164e7,2.8695782667918786e7,2.8641584046677593e7,2.8448087425616805e7,8.906662598478349e6,20500.,2.5455283018272124e7,1.740077251880878e7,2.9060129160198085e7,2.878948809944113e7,2.8585656896617513e7,9.17695270630913e6,20500.
96,2.545252285785661e7,1.4920133915840173e7,2.8025082370393503e7,2.7776793389768284e7,2.7638358884913538e7,7.841861416434256e6,20500.,2760.4094873555005,318642.4771605637,145519.36361565068,63011.46842463687,58257.96771618724,121577.51087606233,0.,4003,63118,12808,46307,50310,201153,4004,2.5449762448369253e7,1.460149143867961e7,2.7879563006777853e7,2.7713781921343647e7,2.758010091719735e7,7.720283905558194e6,20500.,2.5455283267343964e7,1.5238776393000737e7,2.8170601734009154e7,2.783980485819292e7,2.7696616852629725e7,7.963438927310319e6,20500.
112,2.54518267549338e7,1.597440991034339e7,2.7643831176977966e7,2.703427527744879e7,2.6953055023489323e7,8.021125956887356e6,20500.,2551.838065765798,387691.0689124819,151261.9735339135,50811.84724961221,46864.905554857105,139829.6981085213,0.,4003,62349,12753,45594,49597,201565,4004,2.5449274916868035e7,1.5586718841430908e7,2.7492569203444052e7,2.6983463430199176e7,2.6906190117934465e7,7.881296258778835e6,20500.,2.5454378592999566e7,1.6362100979255872e7,2.779509315051188e7,2.70850871246984e7,2.699991992904418e7,8.160955654995877e6,20500.
