pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,activate_task,__schedule,__fw_release,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Eactivate_task,E__schedule,E__fw_release,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,Cactivate_task,C__schedule,C__fw_release,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ELactivate_task,EL__schedule,EL__fw_release,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ERactivate_task,ER__schedule,ER__fw_release
12,3.616320465772759e7,1.445808154322492e8,1.5750295546933427e8,1.3622728185414788e8,1.3465533788256958e8,1.7858136297048283e8,20500.,1.2446736423911378e6,306353.19047766924,364262.16323789954,297879.44834530354,297688.0588979721,454399.6452935338,0.,4251,451360,188533,258577,262828,618115,4004,3.4918531015336454e7,1.4427446224177152e8,1.5713869330609637e8,1.3592940240580258e8,1.343576498236716e8,1.781269633251893e8,20500.,3.740787830011873e7,1.4488716862272686e8,1.5786721763257217e8,1.3652516130249318e8,1.3495302594146755e8,1.7903576261577636e8,20500.
16,3.007378487414726e7,9.163827909809206e7,1.0233360956948258e8,8.779354779418442e7,8.639184140460844e7,8.769368248450221e7,20500.,531552.0660367757,430813.4107763618,479028.5186819732,258458.71676762402,255960.6592323184,404076.2027578354,0.,4251,242619,73191,165177,169428,399412,4004,2.9542232808110483e7,9.12074656873157e7,1.018545810508006e8,8.753508907741679e7,8.613588074537612e7,8.728960628174438e7,20500.,3.0605336940184034e7,9.206909250886843e7,1.0281263808816455e8,8.805200651095204e7,8.664780206384076e7,8.809775868726005e7,20500.
20,2.6718130527104672e7,7.081999646002418e7,7.594899746418613e7,6.69556783821365e7,6.559855930076511e7,5.487236389815796e7,20500.,6361.4486932866275,574396.2438238412,563274.597699374,238162.34201145917,233790.08568772674,396344.55908384174,0.,4003,156357,41604,110751,114754,302979,4004,2.6711769078411385e7,7.024560021620034e7,7.538572286648676e7,6.6717516040125035e7,6.5364769215077385e7,5.447601933907412e7,20500.,2.672449197579796e7,7.139439270384802e7,7.65122720618855e7,6.719384072414796e7,6.583234938645284e7,5.52687084572418e7,20500.
24,2.6718130527104672e7,5.863446452984961e7,6.1208023230641134e7,5.439693482152663e7,5.3277787723690994e7,3.936934580041557e7,20500.,6361.4486932866275,667824.8793968111,606656.5839812309,207206.12561204284,201601.95288330317,382383.6958010942,0.,4003,125077,30025,91050,95053,269991,4004,2.6711769078411385e7,5.79666396504528e7,6.06013666466599e7,5.418972869591459e7,5.307618577080769e7,3.8986962104614474e7,20500.,2.672449197579796e7,5.930228940924642e7,6.1814679814622365e7,5.4604140947138675e7,5.34793896765743e7,3.975172949621666e7,20500.
32,2.6718130527104672e7,5.028485252282254e7,4.593187045762e7,4.292151925365217e7,4.208860381528282e7,2.7709084007317137e7,20500.,6361.4486932866275,842902.994141005,607049.4298646227,167567.5865195617,160672.61781927943,390898.2193259895,0.,4003,95191,21437,69753,73756,236158,4004,2.6711769078411385e7,4.944194952868153e7,4.532482102775538e7,4.275395166713261e7,4.192793119746354e7,2.7318185787991147e7,20500.,2.672449197579796e7,5.112775551696354e7,4.6538919887484625e7,4.308908684017173e7,4.22492764331021e7,2.8099982226643126e7,20500.
48,2.6718130527104672e7,4.7016143165856294e7,3.6529966076696165e7,3.449598357838795e7,3.4027459580169715e7,2.185865698441371e7,20500.,6361.4486932866275,1.032259275387995e6,583107.2771916315,119241.229972139,112408.38088025153,408916.2190746665,0.,4003,77742,17289,56450,60453,217563,4004,2.6711769078411385e7,4.59838838904683e7,3.594685879950453e7,3.4376742348415814e7,3.391505119928946e7,2.1449740765339043e7,20500.,2.672449197579796e7,4.804840244124429e7,3.71130733538878e7,3.461522480836009e7,3.413986796104997e7,2.2267573203488376e7,20500.
64,2.6718130527104672e7,4.340327973061532e7,3.250662848385262e7,3.127290804154703e7,3.0993217001216546e7,1.8921379018271763e7,20500.,6361.4486932866275,1.0286343118682578e6,469057.5336561613,86726.41393354908,81103.15052989125,382754.71244828776,0.,4003,71719,15823,51893,55896,211036,4004,2.6711769078411385e7,4.237464541874706e7,3.203757095019646e7,3.118618162761348e7,3.0912113850686654e7,1.8538624305823475e7,20500.,2.672449197579796e7,4.4431914042483576e7,3.2975686017508782e7,3.135963445548058e7,3.1074320151746437e7,1.930413373072005e7,20500.
80,2.6718130527104672e7,4.190510797377779e7,3.109728597750194e7,2.995479114487507e7,2.976377780934922e7,1.8043997483140886e7,20500.,6361.4486932866275,1.0246849589694366e6,453832.53051041067,72691.58167735115,67730.12100938335,375944.9332186617,0.,4003,70017,15468,50547,54550,208196,4004,2.6711769078411385e7,4.088042301480836e7,3.064345344699153e7,2.9882099563197717e7,2.9696047688339837e7,1.7668052549922224e7,20500.,2.672449197579796e7,4.292979293274723e7,3.155111850801235e7,3.002748272655242e7,2.9831507930358604e7,1.8419942416359548e7,20500.
96,2.6718130776917312e7,4.5668354539867185e7,3.0038693559163492e7,2.8718725188521158e7,2.861045295982065e7,1.8482752401680812e7,20500.,6361.447783146054,1.1880104817849323e6,457736.2077560313,53795.603277526796,49849.31251723692,416877.07218964025,0.,4003,66709,14967,47740,51743,205377,4004,2.6711769329134166e7,4.448034405808225e7,2.958095735140746e7,2.866492958524363e7,2.8560603647303414e7,1.8065875329491172e7,20500.,2.672449222470046e7,4.685636502165212e7,3.0496429766919523e7,2.8772520791798685e7,2.8660302272337887e7,1.8899629473870452e7,20500.
112,2.6718364560099132e7,4.125555210399395e7,2.96124432299947e7,2.841129123650638e7,2.8333558097663e7,1.735206425556481e7,20500.,6413.013278521597,1.0515074809458703e6,395578.1413352266,61048.760188851506,56690.81481997669,377426.70772037655,0.,4035,70081,15096,50950,54985,211328,4004,2.671195154682061e7,4.020404462304808e7,2.9216865088659473e7,2.835024247631753e7,2.8276867282843024e7,1.6974637547844432e7,20500.,2.6724777573377654e7,4.230705958493982e7,3.0008021371329926e7,2.847233999669523e7,2.8390248912482977e7,1.7729490963285185e7,20500.
