pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__fw_block,__fw_release,activate_task,fw_request,fw_schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__fw_block,E__fw_release,Eactivate_task,Efw_request,Efw_schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__fw_block,C__fw_release,Cactivate_task,Cfw_request,Cfw_schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__fw_block,EL__fw_release,ELactivate_task,ELfw_request,ELfw_schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__fw_block,ER__fw_release,ERactivate_task,ERfw_request,ERfw_schedule
2,17.714551362159458,277.1784158968449,276.4241678675211,255.1805167673068,0.7304634224905157,0.8007106446776612,254.4226228393729,1.2959820815010512,2.957973210015051,0.14156932812225165,0.12145468041404683,0.138204815926656,0.2550091687947713,0.0013730502561170033,0.022062182076250325,0.2615857211768855,0.0004870820083857641,0.0010990632804546152,4001,1594958,1174164,431405,419110,4002,435406,2805927,1597276,17.572982034037206,277.05696121643086,276.2859630515944,254.92550759851204,0.7290903722343987,0.7786484626014109,254.16103711819602,1.2954949994926654,2.9568741467345965,17.85612069028171,277.29987057725896,276.56237268344773,255.43552593610158,0.7318364727466327,0.8227728267539115,254.6842085605498,1.296469163509437,2.9590722732955057
3,17.88979580104974,86.5492863636901,76.1870354641582,83.53027982775473,0.7805537618606193,0.8709930034982508,83.2631296325631,1.4378724860795582,3.285146442151005,0.1589362328645798,0.29210468878599727,0.30628458727294117,0.35610179843074263,0.0022334299569576332,0.023631917268483127,0.35084125426760693,0.0013361612374167553,0.0029622657180481404,4001,338332,203896,141194,132687,4002,145195,561225,340585,17.73085956818516,86.2571816749041,75.88075087688526,83.17417802932398,0.7783203319036617,0.8473610862297677,82.9122883782955,1.4365363248421414,3.2821841764329567,18.04873203391432,86.8413910524761,76.49332005143114,83.88638162618547,0.7827871918175769,0.8946249207667339,83.61397088683071,1.439208647316975,3.288108707869053
4,16.269406648337917,53.19639676358235,53.776587962689646,48.959892145647444,0.7324287671969046,0.854904047976012,49.44524459889192,1.478272613834022,3.282655686921134,0.11104792669360819,0.2658479992144862,0.2316336899999456,0.23402260104506922,0.002081303600898532,0.02597794779150675,0.22900091134707168,0.0016838256277451613,0.0031537367297511665,4001,282720,169390,118011,111648,4002,122012,290906,285040,16.15835872164431,52.93054876436786,53.5449542726897,48.725869544602375,0.7303474635960061,0.8289261001845053,49.216243687544846,1.476588788206277,3.2795019501913827,16.380454575031525,53.462244762796836,54.00822165268959,49.19391474669251,0.7345100707978032,0.8808819957675188,49.67424551023899,1.4799564394617672,3.285809423650885
8,16.82712046988253,31.166044518389775,29.680691846719107,28.423518388757508,0.7234431761006288,0.8743150924537731,29.56767071959833,1.4589839200750163,3.2903147578831287,0.12582466727142005,0.25892136946860234,0.12826914005136558,0.07998015504597333,0.002044428510330043,0.027708375231979776,0.07899541684616906,0.0017515066741358165,0.0033660457767501484,4001,249133,152687,102753,95400,4002,106754,259143,252089,16.70129580261111,30.907123148921173,29.55242270666774,28.343538233711534,0.7213987475902988,0.8466067172217934,29.48867530275216,1.4572324134008805,3.2869487121063785,16.95294513715395,31.424965887858377,29.808960986770472,28.50349854380348,0.7254876046109588,0.9020234676857529,29.646666136444498,1.4607354267491521,3.293680803659879
12,16.191546613346663,28.651147209436136,26.988928167764232,25.942661668143735,0.7119934538178814,0.8747578710644678,27.141351346118473,1.4556726400139155,3.275192482132761,0.10713264951428059,0.2602075791251188,0.09981993020419822,0.05676176207341754,0.0018988952485544663,0.0289030140876827,0.05691179973922189,0.0018162558487684333,0.0033753347098262054,4001,243320,149877,99296,91962,4002,103297,252957,245841,16.084413963832382,28.390939630311017,26.889108237560034,25.885899906070318,0.7100945585693269,0.8458548569767851,27.08443954637925,1.453856384165147,3.2718171474229347,16.298679262860944,28.911354788561255,27.08874809796843,25.999423430217153,0.7138923490664358,0.9036608851521505,27.198263145857695,1.457488895862684,3.278567816842587
16,15.907312421894527,27.907465532639964,26.536345071742158,24.966264738366018,0.7083340678808304,0.9029427786106947,26.1918861096226,1.4564371207225384,3.272738674796748,0.10470839529158482,0.259558353555839,0.090257866164837,0.04784440464731787,0.002011019219547161,0.030010526864978404,0.048566008392999294,0.0018483789726018163,0.0034039710417697044,4001,242969,149424,100503,92574,4002,104504,253772,246000,15.802604026602943,27.647907179084125,26.44608720557732,24.9184203337187,0.7063230486612833,0.8729322517457163,26.1433201012296,1.4545887417499366,3.2693347037549785,16.012020817186112,28.167023886195803,26.626602937906995,25.014109143013336,0.7103450871003776,0.9329533054756731,26.2404521180156,1.4582854996951402,3.276142645838518
20,17.216558360409902,27.29423357487327,25.000688135819352,24.86017468634233,0.6970468170882372,0.8622576211894053,26.147532378415043,1.4059463019324556,3.277299324480768,0.15361240069147897,0.25948515972712727,0.0758641967170064,0.04707070354931986,0.0018343336432175006,0.026546756142240224,0.04769586667623571,0.0014616618989640173,0.003413940100223556,4001,243438,149905,97718,92274,4002,101719,409065,246181,17.062945959718423,27.034748415146144,24.924823939102346,24.81310398279301,0.6952124834450197,0.8357108650471651,26.099836511738808,1.4044846400334916,3.2738853843805447,17.37017076110138,27.553718734600398,25.07655233253636,24.90724538989165,0.6988811507314547,0.8888043773316455,26.19522824509128,1.4074079638314196,3.2807132645809918
24,17.166374906273433,27.021596427219922,24.912372586898393,24.414513459830122,0.7060206462515031,0.8859687656171914,25.711381176335088,1.3947549519771398,3.273619000565227,0.14406054336191332,0.2599401296233701,0.07267202512647941,0.047533626197374446,0.001964922227994159,0.029438078581179195,0.047974467834702494,0.001420512318059286,0.0034499949129735974,4001,243116,149600,100187,92317,4002,104188,410846,245919,17.02231436291152,26.761656297596552,24.839700561771913,24.366979833632747,0.7040557240235089,0.8565306870360122,25.663406708500386,1.3933344396590805,3.2701690056522534,17.310435449635346,27.281536556843292,24.985044612024872,24.462047086027496,0.7079855684794972,0.9154068441983706,25.75935564416979,1.3961754642951991,3.2770689954782006
28,16.27575806048488,27.16302639543599,25.165216759695156,24.68979143015577,0.7676343892684735,0.9734485257371315,25.948411867889057,1.4545422240427752,3.3317288308657282,0.09669352624620586,0.25649517975984537,0.07491487996311363,0.04677649498673375,0.002242137751246598,0.029301989312028986,0.04749869094602133,0.0016433505493205214,0.003597989744742236,4001,244171,151029,99185,91767,4002,103186,412573,246798,16.179064534238673,26.906531215676143,25.090301879732042,24.643014935169035,0.7653922515172269,0.9441465364251024,25.900913176943035,1.4528988734934547,3.328130841120986,16.372451586731085,27.419521575195834,25.24013163965827,24.736567925142502,0.7698765270197201,1.0027505150491605,25.995910558835078,1.4561855745920957,3.3353268206104705
32,15.637584103974007,26.751611185522762,24.589259800852332,24.00902500204683,0.6962349607292823,0.7835892053973014,25.24792419848004,1.4494153287851357,3.247406334752783,0.10480687214511164,0.26372306206324936,0.06387634673213682,0.04127358141154858,0.0016761135677550998,0.023747271359359168,0.04226760916309047,0.0016564033913126774,0.003248913618473903,4001,241151,148533,97712,91926,4002,101713,250209,244461,15.532777231828895,26.487888123459513,24.525383454120195,23.96775142063528,0.6945588471615272,0.7598419340379422,25.20565658931695,1.447758925393823,3.244157421134309,15.742390976119118,27.01533424758601,24.65313614758447,24.05029858345838,0.6979110742970374,0.8073364767566605,25.29019180764313,1.4510717321764484,3.250655248371257
