pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__fw_block,__fw_release,activate_task,fw_request,fw_schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__fw_block,E__fw_release,Eactivate_task,Efw_request,Efw_schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__fw_block,C__fw_release,Cactivate_task,Cfw_request,Cfw_schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__fw_block,EL__fw_release,ELactivate_task,ELfw_request,ELfw_schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__fw_block,ER__fw_release,ERactivate_task,ERfw_request,ERfw_schedule
2,18.23531342164459,325.48289263354604,324.691806240293,302.0607998825316,0.7228198281361864,0.7947548725637182,301.2398163396243,1.3663978293125396,2.9171571877151377,0.12139956670046104,0.09416687911681265,0.10272986211799662,0.2345757986866488,0.0013061952246948838,0.02227997498262113,0.24275762087063413,0.0005348605457649036,0.0008453031034165726,4001,2433749,1944460,505668,487479,4002,509669,2457931,2435941,18.11391385494413,325.38872575442923,324.589076378175,301.826224083845,0.7215136329114915,0.7724748975810971,300.9970587187537,1.3658629687667747,2.916311884611721,18.356712988345052,325.57705951266286,324.794536102411,302.2953756812183,0.7241260233608813,0.8170348475463394,301.48257396049496,1.3669326898583045,2.9180024908185542
3,18.404809797550612,104.90538798630904,93.77923828874894,99.39608435942883,0.734653243517189,0.8339895052473764,98.80993675577788,1.4661180651844772,3.2141454915478382,0.12283159021109924,0.3144627913649032,0.3367976153202079,0.38475492048304716,0.0020896222569103395,0.02540384238648119,0.3803291711593886,0.0014940756628203378,0.002660844281485275,4001,366665,222948,149515,142068,4002,153516,376470,369018,18.281978207339513,104.59092519494413,93.44244067342873,99.01132943894578,0.7325636212602786,0.8085856628608952,98.4296075846185,1.4646239895216568,3.211484647266353,18.52764138776171,105.21985077767394,94.11603590406915,99.78083927991187,0.7367428657740993,0.8593933476338576,99.19026592693727,1.4676121408472975,3.2168063358293235
4,17.96834191452137,62.14625169016011,62.25442226946887,56.05827919623479,0.7342566823008386,0.8459707646176913,56.40158728409252,1.4758776092273118,3.267495378745965,0.11848802813248582,0.29832411398168546,0.2557864096156166,0.26379471045656544,0.002056186002955207,0.025146835805590517,0.25838244527735554,0.0016482116890566,0.003077296715255695,4001,292280,175909,123021,114706,4002,127022,302580,294617,17.849853886388885,61.84792757617843,61.99863585985325,55.79448448577823,0.7322004962978834,0.8208239288121008,56.143204838815166,1.4742293975382552,3.2644180820307094,18.086829942653857,62.4445758041418,62.510208679084485,56.32207390669136,0.7363128683037938,0.8711176004232818,56.65996972936988,1.4775258209163684,3.2705726754612208
8,17.339011497125718,35.14308306637442,33.696419111352185,30.631527871225156,0.7209907181086433,0.8636411794102948,31.702325559727832,1.4634247698059575,3.2762260962065914,0.1066436483683546,0.29825659952918926,0.14931402128168259,0.08727997404639609,0.001988704345105674,0.028428040445195313,0.08619491515310074,0.0017629180712137593,0.0032967230162408434,4001,249102,153019,102256,94916,4002,106257,258912,251937,17.232367848757363,34.844826466845234,33.5471050900705,30.54424789717876,0.7190020137635377,0.8352131389650995,31.61613064457473,1.4616618517347437,3.2729293731903506,17.445655145494072,35.44133966590361,33.84573313263387,30.718807845271552,0.722979422453749,0.8920692198554901,31.788520474880933,1.4651876878771712,3.2795228192228323
12,19.341195701074735,31.920554705652957,28.961278600882874,28.030048654213267,0.7138727545070347,0.8856011994002998,29.275196830491858,1.454387760621847,3.2713571351053696,0.14129390096849903,0.29777284840159624,0.12333759565402502,0.05687059156806029,0.001978011687987946,0.02724106882474886,0.05688660807921764,0.0017978587999230022,0.003358847944257448,4001,246172,151324,100053,93465,4002,104054,255111,248791,19.199901800106236,31.622781857251358,28.83794100522885,27.973178062645207,0.7118947428190467,0.8583601305755509,29.21831022241264,1.452589901821924,3.267998287161112,19.482489602043234,32.218327554054554,29.0846161965369,28.086919245781328,0.7158507661950226,0.9128422682250487,29.332083438571075,1.45618561942177,3.274715983049627
16,18.00502049487628,31.08517505249655,29.449389904599933,26.737391711918818,0.705432331353804,0.8831219390304847,27.974682415623782,1.4460426030402758,3.2639990295541206,0.12690075110702992,0.29513681467479813,0.10256502896127984,0.05372795386719531,0.0019315467475108372,0.029559277354234248,0.05391721849098019,0.0017436172394467153,0.003295737145735167,4001,244778,150524,100916,92783,4002,104917,255240,247309,17.87811974376925,30.79003823782175,29.346824875638653,26.683663758051622,0.7035007846062932,0.8535626616762505,27.920765197132802,1.444298985800829,3.2607032924083854,18.13192124598331,31.380311867171347,29.551954933561213,26.791119665786013,0.7073638781013148,0.912681216384719,28.028599634114762,1.4477862202797225,3.2672947666998557
20,16.993695576105974,30.1264502487972,26.841859471842273,26.45327889962856,0.6953397815401421,0.8675072463768116,27.64898324446328,1.3942924356367732,3.2611208863339853,0.10250217558195018,0.29432578385065966,0.08589771675626423,0.048077257076439395,0.0017646597311229417,0.02606480156657931,0.0488943427457329,0.001395728568043264,0.0032764235798743435,4001,242768,149728,97458,91550,4002,101459,408230,245280,16.891193400524024,29.832124464946542,26.75596175508601,26.40520164255212,0.6935751218090191,0.8414424448102323,27.600088901717548,1.39289670706873,3.257844462754111,17.096197751687924,30.42077603264786,26.927757188598537,26.501356156705,0.697104441271265,0.893572047943391,27.697877587209014,1.3956881642048165,3.2643973099138597
24,17.56919745063734,30.04760395457781,27.17349072244767,26.321717542120915,0.7042412287917174,0.875804847576212,27.55834779160264,1.399969482411703,3.2616555009081445,0.1292380267875899,0.2918865905950412,0.08603544928929097,0.04507616757740962,0.0019133648722489127,0.02651699956284914,0.0461219094065477,0.0014345317525290557,0.0033316211165428378,4001,241644,149824,96864,91179,4002,100865,408027,245005,17.43995942384975,29.755717363982768,27.08745527315838,26.276641374543505,0.7023278639194684,0.8492878480133629,27.51222588219609,1.398534950659174,3.2583238797916017,17.69843547742493,30.33949054517285,27.25952617173696,26.366793709698324,0.7061545936639663,0.9023218471390612,27.604469701009187,1.401404014164232,3.2649871220246873
28,16.836997500624847,30.38859799787543,27.557484216968156,26.625213816246703,0.7711842413056774,0.9555129935032484,27.8401890797628,1.4520225977697956,3.331285183936555,0.08934607195476829,0.2963853465075168,0.08686818458789247,0.04823873004124124,0.0024821667501944145,0.028751388925911447,0.049277225202082775,0.0016363053038841446,0.0036559335504566803,4001,246638,151967,100722,93193,4002,104723,415926,249162,16.74765142867008,30.092212651367912,27.470616032380264,26.57697508620546,0.768702074555483,0.9267616045773369,27.79091185456072,1.4503862924659114,3.3276292503860985,16.926343572579615,30.684983344382946,27.64435240155605,26.673452546287944,0.7736664080558718,0.9842643824291598,27.889466304964884,1.4536589030736797,3.334941117487012
32,17.97835141214696,29.802577432931542,26.922510144715297,25.85963635278317,0.705762697778833,0.8808390804597701,27.130807895441848,1.457404158322535,3.2699353496812242,0.1199845652247582,0.29437724433655177,0.07293765704140753,0.042041790279661484,0.0018825541002331914,0.028256625649172418,0.042979690854959784,0.0017985562692508505,0.0033532786301044837,4001,244489,150226,100515,92654,4002,104516,254670,246882,17.858366846922202,29.50820018859499,26.84957248767389,25.81759456250351,0.7038801436785999,0.8525824548105977,27.087828204586888,1.4556056020532842,3.2665820710511198,18.09833597737172,30.096954677268094,26.995447801756704,25.90167814306283,0.7076452518790662,0.9090957061089425,27.173787586296807,1.4592027145917859,3.2732886283113287
