pipes,activate_task,__schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Eactivate_task,E__schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Cactivate_task,C__schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,ELactivate_task,EL__schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ERactivate_task,ER__schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock
1,3.74680352455943e6,3.573610526059188e6,3.53015850612041e6,2.1741765239323266e6,3.727613612626204e6,3.7303511933648037e6,5684.633074730169,23756.653398063034,2138.5048687863164,8537.823117138352,27764.05572765693,6601.172427197453,26670,41022,4003,35287,8617,22667,3.7411188914846997e6,3.549853872661125e6,3.5280200012516235e6,2.165638700815188e6,3.699849556898547e6,3.723750020937606e6,3.75248815763416e6,3.597367179457251e6,3.532297010989196e6,2.182714347049465e6,3.7553776683538607e6,3.736952365792001e6
2,3.6633629556047986e6,3.4618523405514723e6,3.53015850612041e6,2.0648515952860017e6,3.631512185215272e6,3.6325175454422445e6,3545.508319320623,21315.46868285816,2138.5048687863164,6121.1143335411325,10849.619886818342,4134.423280923627,26174,40546,4003,34790,8617,22171,3.659817447285478e6,3.440536871868614e6,3.5280200012516235e6,2.0587304809524606e6,3.6206625653284537e6,3.628383122161321e6,3.6669084639241192e6,3.4831678092343304e6,3.532297010989196e6,2.0709727096195428e6,3.6423618051020904e6,3.636651968723168e6
3,3.6414032453058297e6,3.4129950319375442e6,3.53015875593305e6,2.037256288859734e6,3.6081054346561152e6,3.6064394418231994e6,2811.228796055075,20466.324972226284,2138.5042338976637,5360.5408244780265,7014.005702151451,3267.2475797720253,26469,40861,4003,35062,8593,22466,3.6385920165097746e6,3.392528706965318e6,3.5280202516991524e6,2.031895748035256e6,3.601091428953964e6,3.6031721942434274e6,3.6442144741018848e6,3.4334613569097705e6,3.5322972601669477e6,2.042616829684212e6,3.6151194403582667e6,3.6097066894029714e6
4,3.631628853813247e6,3.396183856826284e6,3.53015875593305e6,2.0247217383999329e6,3.601801163467132e6,3.594649266646476e6,2355.191314227879,20200.974459056277,2138.5042338976637,5097.680282302899,6069.429613925051,2719.5055126836523,27116,41516,4003,35711,8595,23113,3.629273662499019e6,3.3759828823672277e6,3.5280202516991524e6,2.01962405811763e6,3.595731733853207e6,3.5919297611337923e6,3.6339840451274747e6,3.4163848312853402e6,3.5322972601669477e6,2.0298194186822358e6,3.607870593081057e6,3.5973687721591596e6
6,3.6208267970119673e6,3.394756357862084e6,3.53015850612041e6,2.0106891705664494e6,3.585367275689515e6,3.5822784798740726e6,1964.6679342822172,20347.65645633312,2138.5048687863164,4792.205786530161,3313.1436657235026,2270.5139052444138,26238,40619,4003,34831,8593,22235,3.618862129077685e6,3.374408701405751e6,3.5280200012516235e6,2.0058969647799192e6,3.5820541320237913e6,3.580007965968828e6,3.6227914649462495e6,3.4151040143184173e6,3.532297010989196e6,2.0154813763529796e6,3.5886804193552383e6,3.584548993779317e6
8,3.6162548437145236e6,3.389224534085336e6,3.53015875593305e6,2.0077425710040573e6,3.582294378353161e6,3.5765090078037903e6,1819.8873203266412,20216.207929726224,2138.5042338976637,5029.354024788365,3273.131158859469,2141.8429826591164,26426,40780,4003,34998,8574,22425,3.614434956394197e6,3.36900832615561e6,3.5280202516991524e6,2.002713216979269e6,3.5790212471943013e6,3.574367164821131e6,3.6180747310348502e6,3.4094407420150624e6,3.5322972601669477e6,2.0127719250288457e6,3.5855675095120203e6,3.5786508507864494e6
10,3.613035447191697e6,3.4153439304209924e6,3.534570572070947e6,2.0034627208734378e6,3.5773437245550775e6,3.5722979058770547e6,1613.437827788759,20459.04515817901,2988.0290450789034,5002.201958050951,1933.962588231545,1816.2789238281548,26208,40357,4003,34805,8597,22205,3.6114220093639083e6,3.3948848852628134e6,3.531582543025868e6,1.9984605189153869e6,3.575409761966846e6,3.5704816269532265e6,3.614648885019486e6,3.4358029755791714e6,3.537558601116026e6,2.0084649228314888e6,3.579277687143309e6,3.574114184800883e6
12,3.6121258894464835e6,3.398084556485151e6,3.534570821883587e6,2.0044695273984247e6,3.5763806725622527e6,3.570792211796837e6,1549.9016318041831,19970.09879798116,2988.0282364096493,4987.2420347882435,1820.623418115545,1788.1383615788072,26702,40878,4003,35294,8594,22701,3.6105759878146793e6,3.37811445768717e6,3.5315827936471775e6,1.9994822853636364e6,3.574560049144137e6,3.569004073435258e6,3.6136757910782876e6,3.418054655283132e6,3.537558850119997e6,2.009456769433213e6,3.5782012959803683e6,3.5725803501584157e6
14,3.611862523044509e6,3.3974064288697275e6,3.534570572070947e6,1.9992490257431376e6,3.5737079398391047e6,3.57082231130404e6,1357.8337865946814,20107.87958672177,2988.0290450789034,4904.754084331216,1511.2529912502505,1497.1214944990352,26579,40707,4003,35155,8577,22576,3.610504689257914e6,3.3772985492830058e6,3.531582543025868e6,1.9943442716588064e6,3.5721966868478544e6,3.5693251898095408e6,3.6132203568311036e6,3.4175143084564493e6,3.537558601116026e6,2.0041537798274688e6,3.575219192830355e6,3.572319432798539e6
16,3.608455064385931e6,3.3984292109124367e6,3.534570821883587e6,1.996028582977249e6,3.571947807933194e6,3.566935035435217e6,1246.8827591943555,20143.953673372976,2988.0282364096493,5049.968317655148,777.9784818147309,1359.5791411781684,26015,40211,4003,34636,8622,22012,3.6072081816267367e6,3.3782852572390637e6,3.5315827936471775e6,1.990978614659594e6,3.5711698294513794e6,3.565575456294039e6,3.6097019471451254e6,3.4185731645858097e6,3.537558850119997e6,2.0010785512949042e6,3.572725786415009e6,3.568294614576395e6
