pipes,fw_request,fw_schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Efw_request,Efw_schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock
2,1.2959820815010512,2.957973210015051,17.714551362159458,277.1784158968449,276.4241678675211,255.1805167673068,0.0004870820083857641,0.0010990632804546152,0.14156932812225165,0.12145468041404683,0.138204815926656,0.2550091687947713
3,1.4378724860795582,3.285146442151005,17.88979580104974,86.5492863636901,76.1870354641582,83.53027982775473,0.0013361612374167553,0.0029622657180481404,0.1589362328645798,0.29210468878599727,0.30628458727294117,0.35610179843074263
12,1.4556726400139155,3.275192482132761,16.191546613346663,28.651147209436136,26.988928167764232,25.942661668143735,0.0018162558487684333,0.0033753347098262054,0.10713264951428059,0.2602075791251188,0.09981993020419822,0.05676176207341754
16,1.4564371207225384,3.272738674796748,15.907312421894527,27.907465532639964,26.536345071742158,24.966264738366018,0.0018483789726018163,0.0034039710417697044,0.10470839529158482,0.259558353555839,0.090257866164837,0.04784440464731787
20,1.4059463019324556,3.277299324480768,17.216558360409902,27.29423357487327,25.000688135819352,24.86017468634233,0.0014616618989640173,0.003413940100223556,0.15361240069147897,0.25948515972712727,0.0758641967170064,0.04707070354931986
24,1.3947549519771398,3.273619000565227,17.166374906273433,27.021596427219922,24.912372586898393,24.414513459830122,0.001420512318059286,0.0034499949129735974,0.14406054336191332,0.2599401296233701,0.07267202512647941,0.047533626197374446
28,1.4545422240427752,3.3317288308657282,16.27575806048488,27.16302639543599,25.165216759695156,24.68979143015577,0.0016433505493205214,0.003597989744742236,0.09669352624620586,0.25649517975984537,0.07491487996311363,0.04677649498673375
32,1.4494153287851357,3.247406334752783,15.637584103974007,26.751611185522762,24.589259800852332,24.00902500204683,0.0016564033913126774,0.003248913618473903,0.10480687214511164,0.26372306206324936,0.06387634673213682,0.04127358141154858
36,1.4619242316226237,3.2665222553023963,15.980546863284179,26.72530394697498,24.499937828088406,24.131125696110022,0.001760988529149854,0.003443966265612719,0.11823094926253219,0.2626025990169438,0.06402329684464547,0.041172771174604605
40,1.4598324695000398,3.262695886682749,16.29796100974756,26.656521157115233,24.4300291850703,23.771439636969053,0.0017675104426282395,0.0033470754180009443,0.11278164914855537,0.26273196358037865,0.06223324058214175,0.041050972201645664
44,1.4552916409066456,3.2732313022246786,16.105287428142965,26.700531252476303,24.48095290069757,23.84694821604267,0.0018453526553736666,0.00351270376218471,0.11348992430714233,0.2652718808032368,0.06421995244671663,0.041248433542119045
