pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__fw_block,__fw_release,activate_task,fw_request,fw_schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__fw_block,E__fw_release,Eactivate_task,Efw_request,Efw_schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__fw_block,C__fw_release,Cactivate_task,Cfw_request,Cfw_schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__fw_block,EL__fw_release,ELactivate_task,ELfw_request,ELfw_schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__fw_block,ER__fw_release,ERactivate_task,ERfw_request,ERfw_schedule
2,15.912403899025245,265.9508615752807,265.54376892756716,244.92927527651554,0.7319281446473578,0.7902833583208395,244.13251462559495,1.393570240544922,2.9733694788200165,0.10738090717255311,0.1297931203423559,0.1493598809586274,0.26145776970048473,0.0014172522763926665,0.0218229935934533,0.26797079546409464,0.0007373550867979528,0.0011774507351822727,4001,1430272,1031300,407572,397159,4002,411573,1442849,1432461,15.805022991852693,265.82106845493837,265.39440904660853,244.66781750681506,0.7305108923709651,0.7684603647273862,243.86454383013086,1.392832885458124,2.972192028084834,16.019784806197798,266.0806546956231,265.6931288085258,245.19073304621602,0.7333453969237504,0.8121063519142928,244.40048542105905,1.39430759563172,2.9745469295551987
3,16.83638290427393,78.7068118380645,68.47196287783851,77.33815737846446,0.7351405112524655,0.8292423788105947,77.12583570989773,1.4691543860818357,3.242832752548426,0.10973912355789395,0.28879811481395734,0.2948171631060461,0.34840489466489544,0.002209951524950182,0.02381327323237048,0.3426695269465796,0.0016065449124307296,0.0029028721632990973,4001,320745,192311,134364,126239,4002,138365,330101,322552,16.726643780716035,78.41801372325054,68.17714571473246,76.98975248379956,0.7329305597275153,0.8054291055782242,76.78316618295115,1.467547841169405,3.239929880385127,16.946122027831823,78.99560995287845,68.76678004094455,77.68656227312935,0.7373504627774157,0.8530556520429652,77.46850523684431,1.4707609309942664,3.2457356247117253
4,15.036519620094978,49.032458127414046,46.17947073284732,47.399695478043014,0.7301779166050569,0.8731631684157922,47.86105603319728,1.4799242360195937,3.2754710363927195,0.11806312049220935,0.26185770858169377,0.21575504309046067,0.23196537930641625,0.002163845675217657,0.026897001238818552,0.2268848811615456,0.0017210347109546387,0.003144448457910176,4001,274177,164741,113358,108208,4002,117359,281519,276951,14.918456499602769,48.77060041883235,45.96371568975686,47.1677300987366,0.7280140709298393,0.8462661671769737,47.634171152035734,1.478203201308639,3.2723265879348093,15.154582740587188,49.29431583599574,46.39522577593778,47.63166085734943,0.7323417622802746,0.9000601696546108,48.087940914358825,1.4816452707305483,3.2786154848506297
8,15.867052736815797,29.997840264378837,27.843295681063125,27.93500556589888,0.7209557871051857,0.8475072463768116,29.053800093817433,1.4643479025331427,3.276058524834841,0.11638053575686946,0.2527012950727716,0.12250880074911663,0.08252995184462009,0.0019493491614099856,0.025045128026731867,0.08152626519913397,0.0017471940715574341,0.0033593766668147396,4001,247221,150801,102589,95108,4002,106590,257072,249911,15.750672201058928,29.745138969306065,27.72078688031401,27.85247561405426,0.7190064379437757,0.8224621183500798,28.9722738286183,1.4626007084615853,3.272699148168026,15.983433272572666,30.25054155945161,27.965804481812242,28.0175355177435,0.7229051362665957,0.8725523744035435,29.135326359016567,1.4660950966047002,3.2794179015016556
12,15.847776555861035,27.834449605392965,26.333290211078435,25.169224233318072,0.7173603464911804,0.892764867566217,26.37606843127686,1.458422041579402,3.268665695945781,0.1045908837206806,0.255731536742811,0.09679233669493925,0.05798269405140388,0.0019029147054361317,0.029672944197652318,0.057995267466235845,0.001734191369476168,0.003291141214742499,4001,243280,149281,100498,92239,4002,104499,253539,245522,15.743185672140354,27.578718068650154,26.236497874383495,25.11124153926667,0.7154574317857443,0.8630919233685647,26.318073163810624,1.4566878502099259,3.2653745547310384,15.952367439581716,28.090181142135776,26.430082547773374,25.227206927369476,0.7192632611966165,0.9224378117638693,26.434063698743095,1.4601562329488782,3.2719568371605234
16,16.0478367908023,26.920195475899888,25.278925960309447,24.115718726549407,0.7062162973456103,0.8857226386806596,25.370381605450234,1.450167450705635,3.254036034917363,0.1174446951024457,0.25587601025053885,0.08731119455917025,0.04717266165962286,0.001783350178052201,0.029257637752101218,0.04775210529285445,0.0017967838980557094,0.00330888020958664,4001,239252,148650,97279,88947,4002,101280,249775,241599,15.930392095699853,26.66431946564935,25.191614765750277,24.068546064889784,0.7044329471675581,0.8564650009285584,25.32262950015738,1.4483706668075793,3.2507271547077763,16.165281485904746,27.176071486150427,25.366237154868617,24.16289138820903,0.7079996475236625,0.9149802764327608,25.41813371074309,1.4519642346036907,3.2573449151269496
20,16.02131792051987,26.27901909960766,24.6122161518437,24.053364422734443,0.7006469536997445,0.8681851574212893,25.31221311090685,1.4052836899956345,3.2708024637782027,0.12057858471265348,0.24759724373764058,0.0829651020755442,0.050175530765692145,0.0018714147180801666,0.02731743565092437,0.05042577258913994,0.001556351985356308,0.0033215057526203573,4001,241628,149048,98265,91209,4002,102266,407762,244259,15.900739335807216,26.03142185587002,24.529251049768156,24.00318889196875,0.6987755389816643,0.840867721770365,25.26178733831771,1.4037273380102782,3.2674809580255824,16.141896505232523,26.5266163433453,24.695181253919245,24.103539953500135,0.7025183684178247,0.8955025930722137,25.36263888349599,1.4068400419809908,3.274123969530823
24,15.831008747813046,26.28644227749842,24.2379561608266,23.67686588757888,0.7172347196214526,0.9221241879060471,24.938571183721468,1.4029059524985186,3.2623946460912494,0.10904349899823806,0.2576459431473346,0.07345932594064664,0.045326689836908685,0.0017992189965438943,0.02953267332856846,0.04599571208211728,0.0014684495616532622,0.00341815245615118,4001,238841,148657,96352,89183,4002,100353,405040,241842,15.721965248814808,26.028796334351085,24.164496834885952,23.631539197741972,0.7154355006249087,0.8925915145774787,24.89257547163935,1.4014375029368653,3.2589764936350982,15.940052246811284,26.544088220645754,24.311415486767245,23.72219257741579,0.7190339386179965,0.9516568612346156,24.984566895803585,1.4043744020601718,3.2658127985474006
28,14.66520269932517,26.68498243026137,24.713957303370783,24.189660235207644,0.7683982297011938,0.9953323338330835,25.40556951459929,1.463109085430533,3.3355658850477092,0.0806395536207738,0.25863737227458117,0.07447777324978944,0.04771341000444451,0.0023141160981944298,0.03321675431559945,0.04862140078679289,0.0016640515510701892,0.0036316298496017474,4001,243373,149520,97956,91397,4002,101957,408203,244919,14.584563145704395,26.42634505798679,24.639479530120994,24.1419468252032,0.7660841136029993,0.962115579517484,25.356948113812496,1.461445033879463,3.3319342551981075,14.745842252945943,26.943619802535952,24.788435076620573,24.237373645212088,0.7707123457993882,1.028549088148683,25.454190915386082,1.4647731369816033,3.339197514897311
32,15.5765696075981,25.82753479358174,24.309456797906666,23.32496688887261,0.698438256496228,0.8771014492753623,24.583505474195945,1.4481302056133787,3.2541496854667376,0.1115375459724035,0.2510322042216444,0.056818645380051436,0.043021240622479695,0.0018167124871972806,0.0298484911962128,0.04387372735918049,0.001779625014020736,0.0033816377349564775,4001,238133,147516,95557,89475,4002,99558,247017,240992,15.465032061625697,25.576502589360096,24.252638152526615,23.28194564825013,0.6966215440090308,0.8472529580791495,24.539631746836765,1.446350580599358,3.250768047731781,15.688107153570504,26.078566997803385,24.366275443286717,23.36798812949509,0.7002549689834253,0.9069499404715751,24.627379201555126,1.4499098306273994,3.257531323201694
