pipes,activate_task,__schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Eactivate_task,E__schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Cactivate_task,C__schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,ELactivate_task,EL__schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ERactivate_task,ER__schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock
1,2.4492463177020913e6,2.106844209570106e6,2.275244691481389e6,822102.4108648868,2.425992662596854e6,2.426090125320161e6,4829.684257021174,16584.473914885893,288.8713876553811,5089.403107929975,24585.98080066964,5659.350556716789,25867,40731,4003,34386,8518,21864,2.44441663344507e6,2.09025973565522e6,2.2749558200937337e6,817013.0077569569,2.4014066817961843e6,2.4204307747634444e6,2.4540760019591125e6,2.123428683484992e6,2.2755335628690445e6,827191.8139728168,2.4505786433975236e6,2.431749475876878e6
2,2.3938170806266717e6,2.0390990027795387e6,2.275244691481389e6,763417.3415569069,2.3639645830890113e6,2.360332182974692e6,2944.873159599956,14850.725230217213,288.8713876553811,3252.052066909964,10708.917643304914,3448.60179171199,26170,41014,4003,34697,8527,22167,2.3908722074670717e6,2.0242482775493215e6,2.2749558200937337e6,760165.289489997,2.3532556654457063e6,2.35688358118298e6,2.3967619537862716e6,2.053949728009756e6,2.2755335628690445e6,766669.3936238169,2.374673500732316e6,2.363780784766404e6
3,2.381996836634782e6,2.0137079722912796e6,2.275244691481389e6,749370.9139616404,2.3451338176704943e6,2.3461921200833665e6,2452.706323628314,14276.952451009536,288.8713876553811,2627.9879718673183,6015.926583951805,2865.1892628595233,26554,41431,4003,35089,8534,22551,2.379544130311154e6,1.99943101984027e6,2.2749558200937337e6,746742.9259897731,2.3391178910865425e6,2.343326930820507e6,2.3844495429584105e6,2.0279849247422891e6,2.2755335628690445e6,751998.9019335078,2.351149744254446e6,2.349057309346226e6
4,2.3688272275160397e6,2.0032937449938105e6,2.275244691481389e6,738075.8887614679,2.3384976578053636e6,2.3307644820485273e6,1881.2853743983433,14026.717205442488,288.8713876553811,2123.9577977471054,4901.275268896017,2199.5976196657866,26341,41199,4003,34880,8539,22338,2.3669459421416414e6,1.989267027788368e6,2.2749558200937337e6,735951.9309637208,2.3335963825364676e6,2.3285648844288616e6,2.370708512890438e6,2.017320462199253e6,2.2755335628690445e6,740199.846559215,2.3433989330742597e6,2.332964079668193e6
6,2.3654405054206173e6,2.0004525588932424e6,2.2752449412940294e6,731793.3876035418,2.32980484947874e6,2.326522116411534e6,1788.3536016107537,14181.774785903515,288.8707690103911,1747.2308120661182,2751.675727474503,2108.6586171304807,26473,41346,4003,35010,8537,22472,2.3636521518190065e6,1.9862707841073389e6,2.274956070525019e6,730046.1567914757,2.3270531737512653e6,2.3244134577944037e6,2.367228859022228e6,2.014634333679146e6,2.2755338120630397e6,733540.618415608,2.3325565252062143e6,2.3286307750286646e6
8,2.359034307644596e6,2.0030382099827882e6,2.275244691481389e6,727100.8130318219,2.3259392018779344e6,2.319383770017896e6,1415.5473474585451,14317.367663021665,288.8713876553811,1649.7638735944638,1955.2414653319865,1658.750498348847,25796,40670,4003,34316,8520,21793,2.3576187602971373e6,1.9887208423197665e6,2.2749558200937337e6,725451.0491582274,2.3239839604126024e6,2.317725019519547e6,2.3604498549920544e6,2.0173555776458099e6,2.2755335628690445e6,728750.5769054163,2.3278944433432664e6,2.3210425205162447e6
10,2.358834592087103e6,2.002840900176505e6,2.276013364976268e6,726120.6408775982,2.325518405983405e6,2.31891916126987e6,1313.0073161232285,13965.176126535749,627.921132997144,1511.2529458035715,1874.1155620338395,1530.9054366028868,26084,40792,4003,34640,8557,22081,2.35752158477098e6,1.9888757240499693e6,2.2753854438432707e6,724609.3879317946,2.3236442904213713e6,2.3173882558332672e6,2.3601475994032263e6,2.0168060763030408e6,2.276641286109265e6,727631.8938234018,2.327392521545439e6,2.320450066706473e6
12,2.3574634907347513e6,1.9934233810930215e6,2.276013364976268e6,724785.8763715747,2.3229016287790015e6,2.317243468893078e6,1197.7814190555364,13836.593689491972,627.921132997144,1448.8740949162748,1241.1365271909162,1392.569856686052,26281,40969,4003,34814,8534,22278,2.356265709315696e6,1.9795867874035295e6,2.2753854438432707e6,723337.0022766584,2.3216604922518106e6,2.315850899036392e6,2.358661272153807e6,2.0072599747825135e6,2.276641286109265e6,726234.750466491,2.3241427653061925e6,2.318636038749764e6
14,2.356979509141189e6,2.0087407862709905e6,2.276013115163627e6,725002.7777777778,2.322752551319648e6,2.31653562514182e6,1198.2803450338542,14339.050667136209,627.921711224597,1607.1173097355058,1173.8420568928123,1424.3386302506551,26036,40673,4003,34560,8525,22035,2.355781228796155e6,1.9944017356038543e6,2.2753851934524025e6,723395.6604680422,2.3215787092627552e6,2.3151112865115693e6,2.358177789486223e6,2.0230798369381267e6,2.2766410368748517e6,726609.8950875133,2.323926393376541e6,2.3179599637720706e6
16,2.3550035454305434e6,1.9959792763078117e6,2.276013364976268e6,724452.7109894184,2.3205007604117924e6,2.3142813416259442e6,1030.8494441984221,14083.59200465749,627.921132997144,1735.2377298040083,165.1950961877592,1193.3306154683232,26513,41233,4003,35061,8548,22510,2.353972695986345e6,1.9818956843031542e6,2.2753854438432707e6,722717.4732596144,2.3203355653156047e6,2.313088011010476e6,2.356034394874742e6,2.0100628683124692e6,2.276641286109265e6,726187.9487192224,2.32066595550798e6,2.3154746722414126e6
