pipes,activate_task,__schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Eactivate_task,E__schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Cactivate_task,C__schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,ELactivate_task,EL__schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ERactivate_task,ER__schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock
1,5.044325229293566e6,3.4518477237841333e6,3.7392581528503858e6,2.180971400235874e6,4.893470887668726e6,5.203766976251579e6,32046.491416931152,45321.769260470755,340.99599962634966,30672.627682816237,125963.0657200804,36652.28849024419,28566,49512,4017,37308,8742,24549,5.012278737876635e6,3.4065259545236626e6,3.7389171568507594e6,2.150298772553058e6,4.767507821948646e6,5.167114687761335e6,5.076371720710497e6,3.497169493044604e6,3.739599148850012e6,2.2116440279186903e6,5.019433953388806e6,5.240419264741823e6
2,4.192372159400793e6,2.611287852239698e6,3.7392584017923824e6,1.2729503414715072e6,4.203231044431621e6,4.215418589798178e6,13608.440109244548,27989.07698942069,340.9954697904177,15766.932067598682,56933.38554385025,15765.180012101308,27503,48511,4017,36167,8665,23486,4.1787637192915487e6,2.5832987752502775e6,3.738917406322592e6,1.2571834094039085e6,4.146297658887771e6,4.199653409786076e6,4.205980599510037e6,2.639276929229119e6,3.739599397262173e6,1.288717273539106e6,4.260164429975471e6,4.231183769810279e6
3,3.9751422467314294e6,2.406474682759476e6,3.7392581528503858e6,1.0535769401391854e6,3.9803614437025096e6,3.9612018831585706e6,8296.73223432526,23672.452623888385,340.99599962634966,10224.458328027278,35972.35813591257,9661.766790414229,27382,48386,4017,36067,8686,23365,3.966845514497104e6,2.3828022301355875e6,3.7389171568507594e6,1.0433524818111581e6,3.944389085566597e6,3.9515401163681564e6,3.9834389789657546e6,2.4301471353833643e6,3.739599148850012e6,1.0638013984672127e6,4.016333801838422e6,3.970863649948985e6
4,3.9285259762309e6,2.3444656421815422e6,3.7392584017923824e6,978620.7603004781,3.946124016203704e6,3.907528348452508e6,7159.99246739503,21808.482150517404,340.9954697904177,8310.054694701685,25820.928300651256,8395.297591611277,26505,47471,4017,35144,8640,22488,3.921365983763505e6,2.322657160031025e6,3.738917406322592e6,970310.7056057764,3.9203030879030526e6,3.8991330508608967e6,3.935685968698295e6,2.3662741243320596e6,3.739599397262173e6,986930.8149951798,3.971944944504355e6,3.9159236460441193e6
6,3.8825301821689606e6,2.2775752306600427e6,3.7392581528503858e6,926054.4437573781,3.8639360579710146e6,3.8529787888036277e6,5766.085004757624,20364.892759952694,340.99599962634966,6706.821157454513,14762.241445831954,6751.899895740673,26953,47906,4017,35578,8625,22936,3.876764097164203e6,2.25721033790009e6,3.7389171568507594e6,919347.6225999236,3.8491738165251827e6,3.846226888907887e6,3.888296267173718e6,2.2979401234199954e6,3.739599148850012e6,932761.2649148327,3.8786982994168466e6,3.8597306886993684e6
8,3.8562919120387626e6,2.2699955783663997e6,3.7392581528503858e6,903261.0663132964,3.836982113915258e6,3.822211765221584e6,4845.995560345706,20744.328823836986,340.99599962634966,7466.880808893708,10327.979126870632,5683.801510700025,26830,47833,4017,35468,8638,22813,3.851445916478417e6,2.2492512495425628e6,3.7389171568507594e6,895794.1855044027,3.8266541347883875e6,3.816527963710884e6,3.8611379075991083e6,2.2907399071902367e6,3.739599148850012e6,910727.9471221901,3.8473100930421287e6,3.827895566732284e6
10,3.8832912420561803e6,2.3059224542861935e6,3.73957356235997e6,919132.9374662613,3.9005314969781497e6,3.8540894091070164e6,6176.833493099548,21120.979123446625,430.88932996522635,6690.030897534569,12474.813266256824,7252.366655096412,26593,47688,4017,35197,8604,22576,3.8771144085630807e6,2.284801475162747e6,3.739142673030005e6,912442.9065687268,3.888056683711893e6,3.84683704245192e6,3.88946807554928e6,2.32704343340964e6,3.7400044516899353e6,925822.9683637959,3.9130063102444066e6,3.861341775762113e6
12,3.8334567399171735e6,2.2640986574662803e6,3.7395740602439633e6,878759.5420924849,3.809130379306345e6,3.795313964715176e6,4087.6633826754987,20548.110639852006,430.88814240600914,5166.256298318156,5853.328297941014,4799.065789986402,26803,47969,4017,35422,8621,22786,3.829369076534498e6,2.2435505468264283e6,3.7391431721015573e6,873593.2857941667,3.8032770510084038e6,3.7905148989251894e6,3.837544403299849e6,2.2846467681061323e6,3.7400049483863693e6,883925.798390803,3.814983707604286e6,3.800113030505162e6
14,3.8269551623400636e6,2.2487109551786417e6,3.73957356235997e6,868914.9845808803,3.8065588780713957e6,3.787587470141151e6,3795.900799394585,20702.9686365705,430.88932996522635,5121.029340862064,5159.996088633779,4451.144886604045,27042,48169,4017,35670,8628,23025,3.823159261540669e6,2.228007986542071e6,3.739142673030005e6,863793.9552400182,3.801398881982762e6,3.783136325254547e6,3.830751063139458e6,2.269413923815212e6,3.7400044516899353e6,874036.0139217423,3.8117188741600295e6,3.792038615027755e6
16,3.821470770188154e6,2.238553701180745e6,3.73957356235997e6,867878.8009458896,3.800754028051466e6,3.781073108450281e6,3407.8140572281554,20537.015241227113,430.88932996522635,5458.896833741805,4164.04843109427,3989.4307092926465,27318,48444,4017,35945,8627,23301,3.818062956130926e6,2.218016685939518e6,3.739142673030005e6,862419.9041121477,3.796589979620372e6,3.7770836777409883e6,3.8248785842453823e6,2.259090716421972e6,3.7400044516899353e6,873337.6977796314,3.8049180764825605e6,3.7850625391595736e6
18,3.8153898202916025e6,2.236612075661831e6,3.7395738113019667e6,863332.512455516,3.796717723141459e6,3.7741176640326735e6,3393.8492021528073,20365.46342178015,430.8887362550013,5450.756297840038,3493.29488077946,3994.519654940348,26543,47633,4017,35125,8582,22526,3.8119959710894497e6,2.216246612240051e6,3.7391429225657117e6,857881.756157676,3.7932244282606794e6,3.770123144377733e6,3.8187836694937553e6,2.256977539083611e6,3.7400047000382217e6,868783.2687533561,3.8002110180222383e6,3.778112183687614e6
20,3.819475898796757e6,2.2194067118099863e6,3.73957356235997e6,864545.5854658247,3.817113430232558e6,3.778687510641921e6,3525.9587085857056,19567.276097438764,430.88932996522635,4807.592803098494,5233.819961601868,4123.83718269458,27509,48586,4017,36108,8600,23492,3.8159499400881715e6,2.1998394357125475e6,3.739142673030005e6,859737.9926627262,3.811879610270956e6,3.7745636734592263e6,3.823001857505343e6,2.238973987907425e6,3.7400044516899353e6,869353.1782689232,3.82234725019416e6,3.7828113478246154e6
22,3.8186587176479213e6,2.2362804401735896e6,3.73957356235997e6,861590.3060371258,3.7953302325581396e6,3.77778592923778e6,3298.1595497191884,20251.13878507167,430.88932996522635,5436.934256608249,3289.7919493094087,3862.4585545989685,27278,48390,4017,35878,8600,23261,3.815360558098202e6,2.216029301388518e6,3.739142673030005e6,856153.3717805175,3.79204044060883e6,3.773923470683181e6,3.8219568771976405e6,2.2565315789586613e6,3.7400044516899353e6,867027.240293734,3.798620024507449e6,3.781648387792379e6
24,3.813133813926187e6,2.2149393673292287e6,3.7395738113019667e6,853579.2909146699,3.792564711359404e6,3.771310894539822e6,3239.3752442649566,19774.302268873435,430.8887362550013,4310.921077277395,2880.1174333677627,3795.3528119158,27258,48398,4017,35849,8592,23241,3.809894438681922e6,2.1951650650603552e6,3.7391429225657117e6,849268.3698373925,3.7896845939260363e6,3.767515541727906e6,3.816373189170452e6,2.234713669598102e6,3.7400047000382217e6,857890.2119919473,3.795444828792772e6,3.7751062473517377e6
26,3.8101029700354743e6,2.2407547795429267e6,3.73957356235997e6,853673.1574002904,3.7911321705875536e6,3.76789664605667e6,3115.080542486161,20677.180650375318,430.88932996522635,4757.474151284201,2434.385486256331,3668.099977153819,26498,47651,4017,35127,8629,22481,3.806987889492988e6,2.2200775988925514e6,3.739142673030005e6,848915.6832490062,3.7886977851012973e6,3.7642285460795164e6,3.8132180505779604e6,2.261431960193302e6,3.7400044516899353e6,858430.6315515746,3.79356655607381e6,3.771564746033824e6
28,3.8055393681422626e6,2.2417836015567477e6,3.73957356235997e6,848954.9788740437,3.7884038841725783e6,3.7625322357560345e6,3060.771603101399,20832.622658503242,430.88932996522635,4670.3522126044845,1952.752790428698,3605.966527773533,26430,47535,4017,35028,8599,22413,3.802478596539161e6,2.2209509788982444e6,3.739142673030005e6,844284.6266614392,3.7864511313821496e6,3.758926269228261e6,3.808600139745364e6,2.262616224215251e6,3.7400044516899353e6,853625.3310866482,3.790356636963007e6,3.766138202283808e6
30,3.807459616033597e6,2.229888727204204e6,3.7395738113019667e6,849643.5358520536,3.7897556474149977e6,3.764752074871976e6,2901.0663380082697,20339.54806943983,430.8887362550013,4580.9277211356675,2271.599855866283,3412.3402262385935,26669,47761,4017,35256,8588,22652,3.8045585496955886e6,2.2095491791347642e6,3.7391429225657117e6,845062.6081309179,3.7874840475591314e6,3.7613397346457373e6,3.810360682371605e6,2.250228275273644e6,3.7400047000382217e6,854224.4635731892,3.792027247270864e6,3.7681644150982145e6
