pipes,fw_request,fw_schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Efw_request,Efw_schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock
2,1.393570240544922,2.9733694788200165,15.912403899025245,265.9508615752807,265.54376892756716,244.92927527651554,0.0007373550867979528,0.0011774507351822727,0.10738090717255311,0.1297931203423559,0.1493598809586274,0.26145776970048473
3,1.4691543860818357,3.242832752548426,16.83638290427393,78.7068118380645,68.47196287783851,77.33815737846446,0.0016065449124307296,0.0029028721632990973,0.10973912355789395,0.28879811481395734,0.2948171631060461,0.34840489466489544
12,1.458422041579402,3.268665695945781,15.847776555861035,27.834449605392965,26.333290211078435,25.169224233318072,0.001734191369476168,0.003291141214742499,0.1045908837206806,0.255731536742811,0.09679233669493925,0.05798269405140388
16,1.450167450705635,3.254036034917363,16.0478367908023,26.920195475899888,25.278925960309447,24.115718726549407,0.0017967838980557094,0.00330888020958664,0.1174446951024457,0.25587601025053885,0.08731119455917025,0.04717266165962286
20,1.4052836899956345,3.2708024637782027,16.02131792051987,26.27901909960766,24.6122161518437,24.053364422734443,0.001556351985356308,0.0033215057526203573,0.12057858471265348,0.24759724373764058,0.0829651020755442,0.050175530765692145
24,1.4029059524985186,3.2623946460912494,15.831008747813046,26.28644227749842,24.2379561608266,23.67686588757888,0.0014684495616532622,0.00341815245615118,0.10904349899823806,0.2576459431473346,0.07345932594064664,0.045326689836908685
28,1.463109085430533,3.3355658850477092,14.66520269932517,26.68498243026137,24.713957303370783,24.189660235207644,0.0016640515510701892,0.0036316298496017474,0.0806395536207738,0.25863737227458117,0.07447777324978944,0.04771341000444451
32,1.4481302056133787,3.2541496854667376,15.5765696075981,25.82753479358174,24.309456797906666,23.32496688887261,0.001779625014020736,0.0033816377349564775,0.1115375459724035,0.2510322042216444,0.056818645380051436,0.043021240622479695
36,1.4538187994284908,3.2554001326424866,15.83580704823794,26.146929091914167,24.027327634807648,23.190407998260792,0.0017721397026648766,0.0033314920968643413,0.11243015784916643,0.2625497830749062,0.06302956566938889,0.042694563016599574
40,1.4538348564574943,3.250011811368077,15.336357660584852,25.58145830051595,23.974677810186222,22.987567047585497,0.0017309553019291268,0.0033503604619453675,0.10151280885239444,0.24788533683620173,0.055222879291012106,0.045176406514524814
44,1.4541891475487652,3.250286345524288,15.338021494626343,25.675510443678586,23.82305423781666,23.08907561294575,0.001737640608530322,0.003216328947975189,0.10810795189301636,0.25258346616536187,0.05522612559642681,0.04259118358612213
