pipes,activate_task,__schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Eactivate_task,E__schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Cactivate_task,C__schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,ELactivate_task,EL__schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ERactivate_task,ER__schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock
1,1.1863311470139998e8,1.89613000232431e8,9.24798523573201e6,1.2248080501558793e8,1.2618535821353248e8,1.213746829913378e8,177609.41278904676,395948.6901523471,224088.02029704303,124225.13180680573,191069.71704646945,159826.7834290564,162073,268897,4030,255005,92932,158043,1.1845550528861094e8,1.8921705154227865e8,9.023897215434967e6,1.2235657988378112e8,1.2599428849648601e8,1.2121485620790875e8,1.1881072411418903e8,1.9000894892258334e8,9.472073256029053e6,1.2260503014739473e8,1.2637642793057895e8,1.2153450977476686e8
2,3.0794331903729234e7,3.8307857974973e7,8.833289644012945e6,3.1038878904999316e7,2.726296686746988e7,3.2596090659052256e7,219720.50955043733,322972.08240354806,17604.844095161185,215109.4326082766,422087.78050419316,230693.2731938176,51646,78715,4017,65589,13944,47629,3.0574611394178797e7,3.798488589256945e7,8.815684799917784e6,3.082376947239104e7,2.6840879086965688e7,3.236539738585844e7,3.101405241327967e7,3.863083005737655e7,8.850894488108106e6,3.1253988337607592e7,2.7685054647974074e7,3.2826783932246074e7
3,1.4941001319407795e7,1.4846235330424784e7,8.825064102564102e6,1.3282275336001044e7,1.223104002203967e7,1.5656786502626313e7,120154.79348329827,158232.05586182326,17031.66016319208,125507.93868238293,181193.70599159412,132896.4005356077,36001,59136,4017,45982,9982,31984,1.4820846525924496e7,1.468800327456296e7,8.80803244240091e6,1.3156767397318661e7,1.2049846316048076e7,1.5523890102090705e7,1.5061156112891093e7,1.5004467386286607e7,8.842095762727294e6,1.3407783274683427e7,1.2412233728031265e7,1.578968290316192e7
4,1.0306586823808717e7,8.982487224789346e6,8.836774458551157e6,8.126007898075977e6,9.84351034709296e6,1.0484582103031255e7,45642.46373520419,79347.12011520378,17384.62739055045,65503.33128109202,63899.31446588598,52239.447125222534,29485,51506,4017,38617,9133,25468,1.0260944360073512e7,8.903140104674142e6,8.819389831160607e6,8.060504566794885e6,9.779611032627074e6,1.0432342655906033e7,1.035222928754392e7,9.06183434490455e6,8.854159085941708e6,8.191511229357069e6,9.907409661558846e6,1.0536821550156478e7
6,9.525207329620037e6,8.027866942918889e6,8.823176250933532e6,7.206726790842481e6,9.356565689408135e6,9.587655130326852e6,29619.898426555097,69651.50602972694,16818.508201012388,56436.57707240153,49577.18076854944,34237.00483515859,28187,50437,4017,37259,9073,24170,9.495587431193482e6,7.958215436889162e6,8.80635774273252e6,7.150290213770079e6,9.306988508639585e6,9.553418125491694e6,9.554827228046592e6,8.097518448948616e6,8.839994759134544e6,7.2631633679148825e6,9.406142870176684e6,9.62189213516201e6
8,9.247190278996315e6,7.792592166630282e6,8.836774458551157e6,6.894599240405117e6,9.163788310249308e6,9.260411246833893e6,18451.76523708366,63991.51611933578,17384.62739055045,51205.22702785954,32094.598031824455,21196.399456294253,28495,50387,4017,37520,9025,24478,9.228738513759231e6,7.728600650510946e6,8.819389831160607e6,6.843394013377258e6,9.131693712217484e6,9.239214847377598e6,9.265642044233399e6,7.856583682749618e6,8.854159085941708e6,6.945804467432977e6,9.195882908281133e6,9.281607646290187e6
10,9.154026847177604e6,7.738657965886048e6,8.832521035598705e6,6.80489723955126e6,9.384577366437597e6,9.15296898395722e6,16288.106811182573,65850.61920343526,16790.259459687397,54825.6470085131,36120.24618685804,18714.63732825406,28327,50302,4017,37349,9022,24310,9.137738740366422e6,7.672807346682613e6,8.815730776139017e6,6.750071592542747e6,9.34845712025074e6,9.134254346628966e6,9.170314953988787e6,7.804508585089483e6,8.849311295058392e6,6.859722886559773e6,9.420697612624455e6,9.171683621285474e6
12,9.074474249775382e6,7.5778217554494e6,8.832521284540702e6,6.712127877307274e6,9.020312645590682e6,9.060952011928763e6,14082.144662000239,64095.92987200804,16790.258125457913,53755.27708929218,27061.955448115245,16175.317317526788,27825,49822,4017,36840,9015,23808,9.060392105113382e6,7.513725825577392e6,8.815731026415244e6,6.658372600217982e6,8.993250690142566e6,9.044776694611236e6,9.088556394437382e6,7.641917685321408e6,8.84931154266616e6,6.765883154396567e6,9.047374601038797e6,9.07712732924629e6
14,9.041718049568966e6,7.524244606126474e6,8.832521035598705e6,6.6363380189959295e6,8.97442552719201e6,9.022651786089074e6,14292.010121291503,63481.551787531935,16790.259459687397,53241.505134861916,24774.524104729295,16434.980649966747,27840,49686,4017,36850,9010,23823,9.027426039447675e6,7.460763054338942e6,8.815730776139017e6,6.583096513861068e6,8.94965100308728e6,9.006216805439107e6,9.056010059690258e6,7.587726157914006e6,8.849311295058392e6,6.689579524130791e6,8.999200051296739e6,9.03908676673904e6
16,8.965043244125327e6,7.432310527379269e6,8.832521035598705e6,6.545993695122952e6,8.954277412891017e6,8.933210726261726e6,10670.256682865322,62927.651368367486,16790.259459687397,52685.11521397624,23138.289949290454,12147.544561885297,27576,49490,4017,36559,8983,23559,8.954372987442462e6,7.369382876010901e6,8.815730776139017e6,6.493308579908975e6,8.931139122941727e6,8.92106318169984e6,8.975713500808192e6,7.495238178747636e6,8.849311295058392e6,6.598678810336928e6,8.977415702840308e6,8.945358270823611e6
