pipes,activate_task,__schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Eactivate_task,E__schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Cactivate_task,C__schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,ELactivate_task,EL__schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ERactivate_task,ER__schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock
1,4.641814881955478e7,6.180858263028083e7,6.2601445108289765e6,4.600815756320596e7,4.618544888480714e7,4.913589505060902e7,270201.39537923783,430256.9126070738,5905.137683632784,243119.97056226432,512588.5489949733,274967.5750954449,62307,94469,4017,81361,19055,58290,4.6147947424175546e7,6.1378325717673756e7,6.254239373145344e6,4.576503759264369e7,4.567286033581217e7,4.886092747551358e7,4.668835021493402e7,6.2238839542887904e7,6.266049648512609e6,4.625127753376822e7,4.669803743380211e7,4.941086262570447e7
2,7.37128453662842e6,5.915521869027261e6,6.261295369678865e6,4.806290241543298e6,7.185548459635709e6,7.500530627776864e6,35335.94484002516,60797.7222522283,6124.096641165204,45504.19584534131,85228.22125607263,40743.06908751279,28325,49705,4017,37219,8894,24308,7.335948591788395e6,5.854724146775032e6,6.2551712730377e6,4.760786045697956e6,7.100320238379637e6,7.459787558689351e6,7.406620481468446e6,5.976319591279489e6,6.26741946632003e6,4.851794437388639e6,7.270776680891782e6,7.541273696864377e6
3,6.641887355643286e6,5.08231955547293e6,6.261018297236743e6,3.953509098002062e6,6.6757244166192375e6,6.653568093216668e6,13093.757066372782,43513.04588642344,6100.914228606969,27083.63931447221,46796.55233923532,15211.158685626462,27103,48411,4017,35887,8785,23086,6.628793598576914e6,5.0388065095865065e6,6.254917383008136e6,3.92642545868759e6,6.628927864280002e6,6.638356934531041e6,6.654981112709659e6,5.125832601359353e6,6.26711921146535e6,3.9805927373165344e6,6.722520968958473e6,6.668779251902294e6
4,6.59665613102507e6,4.959149238894691e6,6.262521906895693e6,3.8879516661212915e6,6.560861299818841e6,6.598102782557603e6,13025.87145172432,41907.25213839393,6282.823089645244,28264.118303593248,35991.51517390087,15116.519519106485,27842,49796,4017,36672,8832,23827,6.583630259573346e6,4.917241986756297e6,6.256239083806048e6,3.859687547817698e6,6.52486978464494e6,6.5829862630384965e6,6.609682002476795e6,5.001056491033085e6,6.268804729985339e6,3.9162157844248847e6,6.596852814992742e6,6.613219302076709e6
6,6.490548107169975e6,4.8921866961579425e6,6.261018297236743e6,3.7245353632419966e6,6.4273913291500285e6,6.47514923857868e6,9955.08276731614,39457.89159845002,6100.914228606969,24719.71257951483,19784.659505202435,11553.869269410148,27657,48828,4017,36422,8765,23640,6.480593024402658e6,4.8527288045594925e6,6.254917383008136e6,3.699815650662482e6,6.407606669644826e6,6.46359536930927e6,6.500503189937291e6,4.931644587756393e6,6.26711921146535e6,3.7492550758215114e6,6.447175988655231e6,6.48670310784809e6
8,6.400209907994575e6,4.78085494259023e6,6.261275080906149e6,3.639092176757596e6,6.389021158002502e6,6.369670649931224e6,6588.161801545881,38514.906812503934,6120.766436960548,25284.438962964807,14701.79475276079,7634.55651002191,27281,48598,4017,36072,8791,23264,6.393621746193029e6,4.742340035777726e6,6.255154314469188e6,3.613807737794631e6,6.3743193632497415e6,6.362036093421202e6,6.406798069796121e6,4.819369849402734e6,6.26739584734311e6,3.664376615720561e6,6.403722952755263e6,6.377305206441246e6
10,6.381492216722711e6,4.732887898842372e6,6.2609071446353e6,3.5927163668860644e6,6.441441407584557e6,6.348248329621381e6,5819.677213019691,38550.690587060526,6169.041522424668,24050.790453914553,13867.077206349,6757.117639823817,26467,48202,4017,35248,8781,22450,6.375672539509691e6,4.6943372082553115e6,6.2547381031128755e6,3.56866557643215e6,6.427574330378208e6,6.341491211981557e6,6.387311893935731e6,4.7714385894294325e6,6.267076186157725e6,3.616767157339979e6,6.455308484790906e6,6.355005447261205e6
12,6.361442547555097e6,4.67934600151079e6,6.260907393577296e6,3.576390776631538e6,6.346547518779877e6,6.3237721032636855e6,5079.348405323923,37042.15262265224,6169.040656991303,23358.461269352585,10416.108607250266,5902.637123327702,27179,48981,4017,35963,8786,23164,6.356363199149773e6,4.642303848888137e6,6.254738352920305e6,3.5530323153621852e6,6.336131410172626e6,6.317869466140358e6,6.366521895960421e6,4.716388154133442e6,6.267076434234288e6,3.5997492379008904e6,6.356963627387127e6,6.329674740387013e6
14,6.398432641765586e6,4.775929661822358e6,6.260907393577296e6,3.6103216302610547e6,6.336684195597912e6,6.36673023067584e6,6727.607566050254,36922.66987611912,6169.040656991303,22527.655726956204,7769.950999215245,7741.136033833027,28727,50506,4017,37540,8814,24710,6.391705034199536e6,4.739006991946239e6,6.254738352920305e6,3.5877939745340985e6,6.328914244598697e6,6.358989094642007e6,6.405160249331636e6,4.812852331698477e6,6.267076434234288e6,3.632849285988011e6,6.344454146597127e6,6.374471366709673e6
16,6.350483784968227e6,4.689686679904198e6,6.260583644510829e6,3.5631604198937817e6,6.3245486316989735e6,6.3114453028033385e6,4656.8913775496185,37074.169940236025,5977.599993771873,24115.806256764103,6363.547729811631,5354.192349799909,27382,48851,4017,36152,8770,23365,6.3458268935906775e6,4.652612509963962e6,6.254606044517057e6,3.5390446136370176e6,6.318185083969162e6,6.306091110453539e6,6.355140676345777e6,4.726760849844434e6,6.266561244504601e6,3.5872762261505458e6,6.330912179428785e6,6.316799495153138e6
