pipes,activate_task,__schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Eactivate_task,E__schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Cactivate_task,C__schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,ELactivate_task,EL__schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ERactivate_task,ER__schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock
1,1.0342493679990206e7,8.939587907716786e6,4.9972587752053775e6,7.777390262843489e6,7.809665649520488e6,1.103874477440067e7,107750.67530068383,125801.7496494092,2776.6386084752157,103256.8982337527,193449.65252996236,120381.63791447878,32674,55308,4017,41850,9176,28657,1.0234743004689522e7,8.813786158067377e6,4.994482136596902e6,7.674133364609736e6,7.616215996990526e6,1.0918363136486191e7,1.045024435529089e7,9.065389657366196e6,5.000035413813853e6,7.880647161077241e6,8.003115302050451e6,1.1159126412315149e7
2,5.498220535292192e6,3.876594589695041e6,4.995473238735375e6,2.674750558389632e6,5.563520876112252e6,5.529769483008262e6,14593.284363021143,36857.33962686546,2431.796818371862,19455.323956187814,62990.154863879085,16883.978371518664,27499,49646,4017,36265,8766,23482,5.483627250929171e6,3.8397372500681756e6,4.993041441917003e6,2.655295234433444e6,5.500530721248372e6,5.512885504636743e6,5.5128138196552135e6,3.9134519293219065e6,4.997905035553747e6,2.69420588234582e6,5.626511030976131e6,5.54665346137978e6
3,5.263470344648295e6,3.6184934668457685e6,4.994719442369928e6,2.4199578656414864e6,5.285910792192882e6,5.255941136671177e6,9133.513307344168,32754.211323522963,2209.946809012443,17168.42164254142,39475.91151034832,10648.29906846676,26926,49134,4017,35636,8710,22909,5.254336831340951e6,3.5857392555222455e6,4.992509495560915e6,2.402789443998945e6,5.246434880682534e6,5.24529283760271e6,5.272603857955639e6,3.6512476781692915e6,4.99692938917894e6,2.437126287284028e6,5.32538670370323e6,5.266589435739644e6
4,5.231752331023473e6,3.543632498292418e6,4.994719442369928e6,2.361565682575528e6,5.246020745228026e6,5.217757665845579e6,8564.700609173626,30179.877268834505,2209.946809012443,15807.528210177552,29554.21731757,9959.665028385818,27563,49778,4017,36311,8749,23546,5.2231876304143e6,3.5134526210235837e6,4.992509495560915e6,2.3457581543653505e6,5.216466527910456e6,5.207798000817193e6,5.240317031632647e6,3.5738123755612527e6,4.99692938917894e6,2.3773732107857056e6,5.275574962545596e6,5.227717330873964e6
6,5.150673313825368e6,3.479400409071768e6,4.994719691311925e6,2.2685801841418166e6,5.138233513327206e6,5.122753232758621e6,6059.868971561082,29165.66179552581,2209.9461384471506,14269.82246080041,17669.84445944242,7051.355325016193,27681,49869,4017,36385,8704,23664,5.144613444853807e6,3.4502347472762424e6,4.992509745173478e6,2.254310361681016e6,5.120563668867763e6,5.115701877433605e6,5.156733182796929e6,3.508566070867294e6,4.996929637450372e6,2.282850006602617e6,5.155903357786648e6,5.129804588083637e6
8,5.110626628394789e6,3.4519603430448268e6,4.994719442369928e6,2.225767818815331e6,5.10637893587681e6,5.07616655870795e6,4956.760608633049,29249.628098103683,2209.946809012443,14227.34593206551,13691.915649136528,5789.993407047354,27174,49323,4017,35875,8702,23157,5.105669867786156e6,3.422710714946723e6,4.992509495560915e6,2.2115404728832655e6,5.092687020227673e6,5.070376565300902e6,5.115583389003422e6,3.4812099711429304e6,4.99692938917894e6,2.2399951647473965e6,5.1200708515259465e6,5.081956552114997e6
10,5.124921708378673e6,3.531407777639803e6,4.996134428678118e6,2.2164518955256776e6,5.168760944304378e6,5.0924559291809965e6,5236.096776893362,28598.93773310026,2496.1165804862976,13259.502490756568,17389.947742339224,6096.335397128947,27570,48318,4017,36296,8726,23553,5.119685611601779e6,3.5028088399067027e6,4.993638312097631e6,2.203192393034921e6,5.151370996562039e6,5.086359593783868e6,5.130157805155566e6,3.5600067153729033e6,4.998630545258604e6,2.229711398016434e6,5.186150892046717e6,5.098552264578125e6
12,5.095654189509557e6,3.497302182222969e6,4.996134428678118e6,2.1913398453911436e6,5.079400608635738e6,5.058422668523435e6,4259.613124221563,27718.699132570997,2496.1165804862976,12192.39890014287,10399.436422232538,4975.561849698424,26996,47612,4017,35703,8708,22979,5.091394576385335e6,3.469583483090398e6,4.993638312097631e6,2.1791474464910007e6,5.069001172213505e6,5.053447106673736e6,5.099913802633778e6,3.52502088135554e6,4.998630545258604e6,2.2035322442912864e6,5.08980004505797e6,5.063398230373133e6
14,5.084751210543562e6,3.492172463497594e6,4.996134677620115e6,2.188346946955248e6,5.071595626219722e6,5.045465799573561e6,3890.451057883911,27983.33459970914,2496.115851731971,12704.660203249194,9891.303848271258,4530.414746674709,27467,48216,4017,36177,8711,23450,5.080860759485678e6,3.464189128897885e6,4.993638561768383e6,2.1756422867519986e6,5.061704322371451e6,5.0409353848268865e6,5.088641661601446e6,3.520155798097303e6,4.998630793471847e6,2.201051607158497e6,5.081486930067994e6,5.049996214320236e6
16,5.0739731472925525e6,3.4724655983934063e6,4.996134677620115e6,2.171025564687465e6,5.060675097499426e6,5.032937451167636e6,3438.523735329509,27540.718571105972,2496.115851731971,12492.258265314624,8991.430073125288,4010.437370660715,27055,47803,4017,35772,8718,23038,5.070534623557223e6,3.4449248798223003e6,4.993638561768383e6,2.15853330642215e6,5.051683667426301e6,5.028927013796975e6,5.077411671027882e6,3.500006316964512e6,4.998630793471847e6,2.1835178229527795e6,5.069666527572552e6,5.036947888538296e6
18,5.075623277267339e6,3.4742588661417323e6,4.996134428678118e6,2.171503434932563e6,5.055642321881485e6,5.034461135048091e6,3609.286454753019,27960.22483163746,2496.1165804862976,12966.276583605446,8233.68115613237,4255.165539711714,26992,47625,4017,35663,8674,22977,5.072013990812586e6,3.446298641310095e6,4.993638312097631e6,2.1585371583489575e6,5.047408640725353e6,5.03020596950838e6,5.079232563722092e6,3.50221909097337e6,4.998630545258604e6,2.1844697115161684e6,5.063876003037618e6,5.038716300587803e6
20,5.074741096812809e6,3.48833524512388e6,4.996134428678118e6,2.175580238895321e6,5.082457378182237e6,5.033918952234207e6,3748.9649570407346,27976.613192736637,2496.1165804862976,12473.03060853947,8721.55477660615,4385.737793450244,26732,47425,4017,35413,8681,22715,5.070992131855768e6,3.4603586319311433e6,4.993638312097631e6,2.1631072082867813e6,5.073735823405631e6,5.0295332144407565e6,5.07849006176985e6,3.5163118583166166e6,4.998630545258604e6,2.1880532695038603e6,5.091178932958843e6,5.038304690027657e6
