pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__schedule,__fw_release,activate_task,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__schedule,E__fw_release,Eactivate_task,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__schedule,C__fw_release,Cactivate_task,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__schedule,EL__fw_release,ELactivate_task,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__schedule,ER__fw_release,ERactivate_task
20,1.3889125151441725e7,7.490140614676144e6,1.6562359308641976e7,1.728002738402062e7,5.726221223244113e6,20500.,1.6975963813063458e7,28794.874528249726,114937.74651817791,147854.06355156563,75029.3766198717,74663.2015211517,0.,68073.90301178396,4127,49945,10125,35696,121235,4004,39821,1.3860330276913475e7,7.375202868157966e6,1.641450524509041e7,1.7204998007400747e7,5.651558021722961e6,20500.,1.6907889910051674e7,1.3917920025969975e7,7.605078361194322e6,1.6710213372193541e7,1.735505676064049e7,5.800884424765265e6,20500.,1.704403771607524e7
24,1.3890401986915436e7,6.659938166557984e6,1.5938024020993138e7,1.6265442710043278e7,5.136712817012295e6,20500.,1.6051478396045918e7,26492.76956590265,129709.35021272302,128687.66188667715,66045.9609740153,75194.72007848416,0.,59349.83166446164,4127,47539,9908,33505,119396,4004,37632,1.3863909217349533e7,6.530228816345261e6,1.580933635910646e7,1.6199396749069262e7,5.061518096933811e6,20500.,1.5992128564381456e7,1.3916894756481338e7,6.789647516770707e6,1.6066711682879815e7,1.6331488671017293e7,5.211907537090779e6,20500.,1.611082822771038e7
28,1.3848050642112914e7,6.306675098392105e6,1.5398095195285186e7,1.5918883297644539e7,5.1200294563177135e6,20500.,1.5754638682711514e7,15745.961635611951,109153.74503322225,105467.95954503864,56098.639152569696,68550.81833684258,0.,50781.77595962584,4127,50563,10011,36426,121468,4004,40553,1.3832304680477303e7,6.1975213533588825e6,1.5292627235740148e7,1.586278465849197e7,5.051478637980871e6,20500.,1.5703856906751888e7,1.3863796603748526e7,6.415828843425327e6,1.5503563154830225e7,1.5974981936797109e7,5.188580274654556e6,20500.,1.580542045867114e7
32,1.3844106978434699e7,5.605930163021217e6,1.5115310429880198e7,1.5336369247583985e7,4.686778080879597e6,20500.,1.522453099370099e7,15116.63446540758,101872.27100229263,82798.58019044809,47045.29031057842,62849.48033983633,0.,42330.96726088412,4127,48828,9933,34768,120055,4004,38895,1.3828990343969291e7,5.5040578920189245e6,1.503251184968975e7,1.5289323957273407e7,4.623928600539761e6,20500.,1.5182200026440106e7,1.3859223612900106e7,5.70780243402351e6,1.5198109010070646e7,1.5383414537894564e7,4.749627561219433e6,20500.,1.5266861960961875e7
40,1.382587848315968e7,5.019589466730203e6,1.4651210651499484e7,1.4789306385344908e7,4.225152427992627e6,20500.,1.4726867074908214e7,7812.270732119679,98673.982140054,59436.986347710714,40623.14536397904,57913.10274268128,0.,36175.98262133449,4127,46168,9670,32371,117731,4004,36498,1.381806621242756e7,4.920915484590149e6,1.4591773665151773e7,1.4748683239980929e7,4.1672393252499457e6,20500.,1.469069109228688e7,1.38336907538918e7,5.118263448870257e6,1.4710647637847194e7,1.4829929530708887e7,4.283065530735308e6,20500.,1.4763043057529548e7
48,1.3824258420159923e7,4.492841126205585e6,1.449753002829892e7,1.4259268852349665e7,3.852043135783946e6,20500.,1.425313654353562e7,7027.525781460106,95326.79284278862,49588.17619782686,34594.89043695107,54903.39658178948,0.,30458.12305695191,4127,43651,9541,29983,115971,4004,34110,1.3817230894378463e7,4.397514333362796e6,1.4447941852101093e7,1.4224673961912714e7,3.7971397392021567e6,20500.,1.4222678420478668e7,1.3831285945941383e7,4.588167919048374e6,1.4547118204496747e7,1.4293863742786616e7,3.9069465323657356e6,20500.,1.4283594666592572e7
56,1.3826191785800824e7,4.503066008752542e6,1.4271922424557753e7,1.418529398228965e7,3.886170137378802e6,20500.,1.419020407476006e7,7553.422929402441,97573.261730114,38556.884816385806,30712.18909346126,54568.70689066639,0.,27195.310019474477,4127,45244,9610,31507,117267,4004,35634,1.3818638362871422e7,4.405492747022428e6,1.4233365539741367e7,1.4154581793196188e7,3.8316014304881357e6,20500.,1.4163008764740586e7,1.3833745208730226e7,4.600639270482656e6,1.4310479309374139e7,1.421600617138311e7,3.9407388442694684e6,20500.,1.4217399384779535e7
64,1.3818510055730555e7,4.404958857193362e6,1.4195712328053355e7,1.398607571192998e7,3.8615505993327373e6,20500.,1.4013183561874317e7,2496.6540794484317,103674.66641324107,33344.44480754994,26299.85248937644,56458.16493851179,0.,23264.507051257417,4127,45257,9596,31534,116296,4004,35661,1.3816013401651107e7,4.301284190780121e6,1.4162367883245805e7,1.3959775859440604e7,3.8050924343942255e6,20500.,1.398991905482306e7,1.3821006709810004e7,4.508633523606603e6,1.4229056772860905e7,1.4012375564419357e7,3.918008764271249e6,20500.,1.4036448068925574e7
80,1.3818640053307487e7,4.40985898652077e6,1.4086462160751566e7,1.393788624146218e7,3.8801899874929325e6,20500.,1.3970620779838325e7,2527.918327137828,113234.6495840298,25058.74849070795,24881.97725816816,59087.85754275415,0.,22015.00788876787,4127,45329,9580,31624,116734,4004,35751,1.3816112134980349e7,4.29662433693674e6,1.4061403412260858e7,1.3913004264204012e7,3.8211021299501783e6,20500.,1.3948605771949558e7,1.3821167971634625e7,4.5230936361048e6,1.4111520909242274e7,1.3962768218720349e7,3.9392778450356866e6,20500.,1.3992635787727093e7
96,1.381777029319118e7,4.426276695007631e6,1.4041842754153172e7,1.3835212405197065e7,3.8589829849854973e6,20500.,1.387972933138654e7,2333.174042098224,127479.19188360311,21787.388052007183,22048.44297643751,63467.165913677774,0.,19543.418192077428,4127,45870,9571,32172,117220,4004,36299,1.3815437119149081e7,4.2987975031240275e6,1.4020055366101164e7,1.3813163962220628e7,3.7955158190718195e6,20500.,1.3860185913194463e7,1.3820103467233278e7,4.553755886891234e6,1.4063630142205179e7,1.3857260848173503e7,3.922450150899175e6,20500.,1.3899272749578618e7
112,1.381726399321541e7,4.7818076678088205e6,1.397121612259893e7,1.3759756399799222e7,4.0047240861833342e6,20500.,1.3812848457073022e7,2199.6856965459883,167443.3195915101,39333.27789631672,20588.3059658017,77358.5961591308,0.,18230.894899869338,4127,45528,9527,31876,115614,4004,36003,1.3815064307518864e7,4.61436434821731e6,1.3931882844702613e7,1.373916809383342e7,3.9273654900242034e6,20500.,1.3794617562173152e7,1.3819463678911956e7,4.949250987400331e6,1.4010549400495246e7,1.3780344705765024e7,4.082082682342465e6,20500.,1.3831079351972891e7
128,1.3816999151926339e7,4.409620901313849e6,1.3900585001588814e7,1.3617141854899518e7,3.7697509925299063e6,20500.,1.3687459254981231e7,2154.9642633870244,137811.6700560702,35463.40234409459,19018.530279772356,65349.335664767306,0.,16767.777065047994,4127,44069,9441,30503,114858,4004,34630,1.3814844187662952e7,4.271809231257779e6,1.386512159924472e7,1.3598123324619746e7,3.704401656865139e6,20500.,1.3670691477916183e7,1.3819154116189726e7,4.547432571369919e6,1.3936048403932909e7,1.363616038517929e7,3.8351003281946736e6,20500.,1.3704227032046279e7
