pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__schedule,__fw_release,activate_task,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__schedule,E__fw_release,Eactivate_task,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__schedule,C__fw_release,Cactivate_task,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__schedule,EL__fw_release,ELactivate_task,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__schedule,ER__fw_release,ERactivate_task
4,1.6821868063968986e7,1.1653215659161884e8,1.2442942728629869e8,1.1402406049892984e8,1.5117754377526176e8,20500.,1.1192855072645625e8,578827.5247881338,216090.05047239363,340284.95194508135,258887.58357927203,422612.81679439545,0.,261609.95711134374,4127,290437,103158,183152,368393,4004,187279,1.6243040539180852e7,1.1631606654114644e8,1.2408914233435361e8,1.1376517291535057e8,1.5075493095846736e8,20500.,1.1166694076934491e8,1.740069558875712e7,1.1674824664209123e8,1.2476971223824377e8,1.1428294808250912e8,1.5160015659205616e8,20500.,1.121901606835676e8
5,1.6066356883179836e7,7.942617747467496e7,8.684111063296549e7,8.06715573737694e7,8.903757798854353e7,20500.,7.876640153900221e7,445136.3916677367,223113.41086360812,402447.0653887391,242605.17583712935,361445.45497357845,0.,242847.32992756367,4126,188055,51472,132456,266225,4004,136582,1.56212204915121e7,7.920306406381135e7,8.643866356757675e7,8.042895219793227e7,8.867613253356995e7,20500.,7.852355420907465e7,1.6511493274847573e7,7.964929088553856e7,8.724355769835423e7,8.091416254960653e7,8.93990234435171e7,20500.,7.900924886892977e7
6,1.5173563120911073e7,5.7405653580682084e7,6.425705066556756e7,6.10314268211795e7,5.793301450290423e7,20500.,5.935213595743322e7,295086.4844632074,218168.533175461,434988.41717764735,222081.17857538164,300968.8774574399,0.,220156.62436564267,4127,142417,32754,105536,219163,4004,109663,1.4878476636447866e7,5.718748504750662e7,6.3822062248389915e7,6.080934564260412e7,5.763204562544679e7,20500.,5.913197933306758e7,1.546864960537428e7,5.7623822113857545e7,6.469203908274521e7,6.125350799975488e7,5.823398338036167e7,20500.,5.957229258179887e7
7,1.457249963653986e7,4.3659486327829115e7,5.005691644961745e7,4.93119838659565e7,4.136562609113869e7,20500.,4.783726975924963e7,170727.35983760655,205693.47139307857,426628.66488511115,204613.6966131106,253923.55410818756,0.,200987.4141862616,4127,118818,24572,90120,194407,4004,94247,1.4401772276702253e7,4.345379285643604e7,4.963028778473234e7,4.910737016934339e7,4.11117025370305e7,20500.,4.7636282345063366e7,1.4743226996377466e7,4.386517979922219e7,5.0483545114502564e7,4.951659756256961e7,4.161954964524688e7,20500.,4.803825717343589e7
8,1.4364024715289557e7,3.3316250107723244e7,3.901887452209006e7,4.057582298390885e7,2.9042824708577394e7,20500.,3.924673687690742e7,146287.39132514782,200205.28218210116,413949.89716002345,190851.88291905075,214226.40009584278,0.,185551.7243815288,4127,97472,18832,74513,172430,4004,78640,1.421773732396441e7,3.3116044825541142e7,3.860492462493004e7,4.0384971100989796e7,2.882859830848155e7,20500.,3.9061185152525894e7,1.4510312106614705e7,3.3516455389905345e7,3.9432824419250086e7,4.07666748668279e7,2.9257051108673237e7,20500.,3.943228860128895e7
9,1.4516448509813424e7,2.581439281558116e7,3.3140983856027525e7,3.3653221152704515e7,2.059950779613149e7,20500.,3.24477796905713e7,176823.2562016584,196616.5457613133,398419.77461529523,181596.26113320142,183318.74691461772,0.,174070.977029372,4127,78197,15114,58957,152255,4004,63084,1.4339625253611766e7,2.561777626981985e7,3.274256408141223e7,3.3471624891571313e7,2.0416189049216874e7,20500.,3.227370871354193e7,1.4693271766015083e7,2.6011009361342475e7,3.353940363064282e7,3.3834817413837716e7,2.078282654304611e7,20500.,3.2621850667600673e7
10,1.4087436636782166e7,1.9735982429763936e7,2.635434629643933e7,2.8837676360677477e7,1.5030365099599866e7,20500.,2.7754784165120594e7,84357.70990117826,177619.73976145312,349275.7512674406,166828.0521045886,151988.29748924263,0.,157704.66472842917,4127,66846,12947,49773,138454,4004,53900,1.4003078926880987e7,1.9558362690002482e7,2.600507054517189e7,2.867084830857289e7,1.4878376802110624e7,20500.,2.7597079500392165e7,1.4171794346683344e7,1.991360216952539e7,2.670362204770677e7,2.9004504412782066e7,1.5182353397089109e7,20500.,2.7912488829849023e7
12,1.3945002059607463e7,1.517823239527842e7,2.2161938188083034e7,2.4218235245883718e7,1.127851892151853e7,20500.,2.3414401644604895e7,45505.0901013203,168705.9582114201,290044.13843166456,137776.86247975007,127520.27549856901,0.,128846.97123989463,4127,61759,11899,45733,133076,4004,49860,1.3899496969506143e7,1.5009526437067e7,2.187189404965137e7,2.4080458383403968e7,1.1150998646019962e7,20500.,2.3285554673365e7,1.3990507149708783e7,1.534693835348984e7,2.24519823265147e7,2.435601210836347e7,1.14060391970171e7,20500.,2.354324861584479e7
14,1.396273715462918e7,1.2061107618503317e7,1.9770442789829303e7,2.153738966648571e7,9.02708745039375e6,20500.,2.091168059707913e7,54589.704714268446,146201.29084080458,235677.18362323567,116583.63351666182,105872.8397450205,0.,108134.95116236806,4126,57741,11248,42367,129016,4004,46493,1.3908147449914912e7,1.1914906327662513e7,1.9534765606206067e7,2.1420806032969046e7,8.921214610648729e6,20500.,2.0803545645916764e7,1.4017326859343449e7,1.2207308909344122e7,2.000611997345254e7,2.165397330000237e7,9.13296029013877e6,20500.,2.10198155482415e7
16,1.3873214199176157e7,1.0743680980540466e7,1.8533175141500823e7,2.044461450186814e7,8.285815665689286e6,20500.,1.9916753685035367e7,25504.65702454932,129688.1165635828,200068.33819646016,103419.182065472,96272.6739338953,0.,95878.77844069526,4127,58172,10954,43091,129257,4004,47218,1.3847709542151608e7,1.0613992863976883e7,1.8333106803304363e7,2.0341195319802668e7,8.189542991755391e6,20500.,1.982087490659467e7,1.3898718856200706e7,1.0873369097104048e7,1.8733243479697283e7,2.0548033683933612e7,8.382088339623181e6,20500.,2.001263246347606e7
