pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,activate_task,__schedule,__fw_release,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Eactivate_task,E__schedule,E__fw_release,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,Cactivate_task,C__schedule,C__fw_release,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ELactivate_task,EL__schedule,EL__fw_release,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ERactivate_task,ER__schedule,ER__fw_release
4,1.7697523382602375e7,1.2953127566800122e8,1.340175435006211e8,1.2193947391200998e8,1.1989819065655953e8,1.7374073000580126e8,20500.,505269.65781356394,234218.05954825878,346640.10309924185,275370.7265908569,277307.6311825812,443165.8559307158,0.,4127,332447,126389,201932,206059,408531,4004,1.719225372478881e7,1.2929705760845296e8,1.3367090339752187e8,1.2166410318541913e8,1.1962088302537695e8,1.7329756414987054e8,20500.,1.820279304041594e7,1.2976549372754948e8,1.3436418360372034e8,1.2221484463860084e8,1.2017549828774211e8,1.7418389586173198e8,20500.
5,1.715930489578284e7,8.691898501259755e7,9.155630019804347e7,8.419289496079995e7,8.234286390098399e7,9.966332948670474e7,20500.,418685.3420954682,238757.66362597048,410349.7820917964,251232.35624714196,250980.10591103137,380161.1264258325,0.,4126,204405,58573,141709,145835,280852,4004,1.674061955368737e7,8.668022734897158e7,9.114595041595167e7,8.39416626045528e7,8.209188379507296e7,9.92831683602789e7,20500.,1.7577990237878308e7,8.715774267622352e7,9.196664998013526e7,8.444412731704709e7,8.259384400689502e7,1.0004349061313057e8,20500.
6,1.6307977344317906e7,6.120089978349044e7,6.610306379340582e7,6.2714614951211534e7,6.0988518408996254e7,6.239911068728938e7,20500.,269227.7747617513,236947.000630185,443929.7761218995,232375.1582653299,229935.9399864897,320062.8925965354,0.,4127,142257,34212,103918,108045,214844,4004,1.6038749569556154e7,6.096395278286026e7,6.5659134017283924e7,6.2482239792946205e7,6.0758582469009764e7,6.2079047794692844e7,20500.,1.6577205119079657e7,6.143784678412063e7,6.654699356952772e7,6.2946990109476864e7,6.1218454348982744e7,6.2719173579885915e7,20500.
7,1.60287567240126e7,4.771433332635037e7,5.176389403678606e7,5.071818134425203e7,4.923376913329412e7,4.4836197756506756e7,20500.,218152.59012845904,237684.6056905985,437314.55875276774,205609.69910032302,202000.45496368408,275333.7073740065,0.,4127,119338,25825,89388,93515,192646,4004,1.5810604133884141e7,4.747664872065977e7,5.132657947803329e7,5.0512571645151705e7,4.903176867833044e7,4.456086404913275e7,20500.,1.624690931414106e7,4.795201793204097e7,5.2201208595538825e7,5.092379104335235e7,4.9435769588257805e7,4.511153146388076e7,20500.
8,1.5438409256118245e7,3.904345709182785e7,4.2744388190476194e7,4.296476642065005e7,4.16320449370626e7,3.5027271821909785e7,20500.,90338.2054600995,251966.97115287185,449297.1011086181,188072.5832248628,183350.8623021096,254300.70882617682,0.,4127,103302,21000,78179,82304,174114,4004,1.5348071050658146e7,3.8791490120674975e7,4.2295091089367576e7,4.277669383742519e7,4.144869407476049e7,3.477297111308361e7,20500.,1.5528747461578345e7,3.929542406298072e7,4.319368529158481e7,4.315283900387491e7,4.181539579936471e7,3.528157253073596e7,20500.
9,1.5326799491155803e7,3.2495270616078693e7,3.822537057015092e7,3.8004796233065315e7,3.683199826730416e7,2.8021467291644283e7,20500.,81804.55768985115,212389.96099446714,414997.80639421195,175718.38666771352,170219.59245798737,213794.9296268858,0.,4127,94647,17890,72632,76759,167526,4004,1.5244994933465952e7,3.2282880655084226e7,3.781037276375671e7,3.78290778463976e7,3.666177867484617e7,2.7807672362017397e7,20500.,1.5408604048845654e7,3.270766057707316e7,3.864036837654513e7,3.818051461973303e7,3.700221785976215e7,2.823526222127117e7,20500.
10,1.520745989823116e7,2.5753089295597482e7,3.0804375431034483e7,3.2549142205562834e7,3.1484665445513815e7,2.0785281392626107e7,20500.,43692.39039805718,207488.73264063895,375201.4642238058,160416.17950990424,153703.86987095326,186020.3583715111,0.,4127,79500,15080,60293,64420,151182,4004,1.5163767507833103e7,2.5545600562956844e7,3.0429173966810677e7,3.238872602605293e7,3.133096157564286e7,2.0599261034254596e7,20500.,1.5251152288629217e7,2.596057802823812e7,3.117957689525829e7,3.2709558385072738e7,3.1638369315384768e7,2.0971301750997618e7,20500.
12,1.524562818027623e7,1.7772623830184795e7,2.3845643916072585e7,2.5529238453299057e7,2.474041143936859e7,1.2986249604577944e7,20500.,51984.995877502486,205163.69269900024,310943.29697375,135684.83855012432,127104.04873612896,147428.33019321784,0.,4127,63151,12344,46680,50807,134034,4004,1.5193643184398727e7,1.7567460137485795e7,2.3534700619098835e7,2.5393553614748932e7,2.461330739063246e7,1.2838821274384726e7,20500.,1.5297613176153732e7,1.7977787522883795e7,2.4156587213046335e7,2.566492329184918e7,2.486751548810472e7,1.3133677934771162e7,20500.
14,1.516474339714078e7,1.407158361398621e7,2.089563629531388e7,2.2132312288012404e7,2.154548064004581e7,9.929620507680984e6,20500.,41249.358996551484,196361.28080944903,256762.0912124887,108394.60221328214,100319.07142957672,126315.05789179914,0.,4127,56713,11310,41276,45403,127718,4004,1.5123494038144229e7,1.3875222333176762e7,2.063887420410139e7,2.202391768579912e7,2.1445161568616234e7,9.803305449789185e6,20500.,1.5205992756137332e7,1.426794489479566e7,2.115239838652637e7,2.2240706890225686e7,2.1645799711475387e7,1.0055935565572783e7,20500.
16,1.5151458323237218e7,1.3194843858877353e7,1.9763333737101838e7,2.1404568326194715e7,2.0886187402867462e7,9.482413682086235e6,20500.,30319.68160850182,186462.15681993403,226869.96314046904,103100.75206670538,95255.66940931603,120057.22118346207,0.,4127,56830,11145,41558,45685,127349,4004,1.5121138641628716e7,1.300838170205742e7,1.953646377396137e7,2.130146757412801e7,2.0790931733458146e7,9.362356460902773e6,20500.,1.518177800484572e7,1.3381306015697287e7,1.9990203700242307e7,2.150766907826142e7,2.098144307227678e7,9.602470903269697e6,20500.
