pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,activate_task,__schedule,__fw_release,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Eactivate_task,E__schedule,E__fw_release,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,Cactivate_task,C__schedule,C__fw_release,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ELactivate_task,EL__schedule,EL__fw_release,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ERactivate_task,ER__schedule,ER__fw_release
20,1.512030336806397e7,1.1510249326705828e7,1.854923506289308e7,1.9280166873003688e7,1.894099592263108e7,8.243038207708253e6,20500.,24335.212522514164,221342.50367309898,217641.93168365583,78977.66733337566,72561.52696889266,125315.1165255513,0.,4127,55325,10812,40387,44514,125917,4004,1.5095968155541455e7,1.128890682303273e7,1.8331593131209426e7,1.9201189205670312e7,1.886843439566219e7,8.117723091182701e6,20500.,1.5144638580586484e7,1.1731591830378927e7,1.8766876994576737e7,1.9359144540337063e7,1.9013557449599974e7,8.368353324233804e6,20500.
24,1.5089747879815847e7,9.92929545635632e6,1.7496018378063012e7,1.780874223966919e7,1.7574133724134475e7,6.910940672861104e6,20500.,10143.127451632172,223441.92194088176,187274.36999964714,65800.82586372644,59563.15921955928,116244.6369221732,0.,4127,50202,10284,35791,39918,121184,4004,1.5079604752364215e7,9.705853534415439e6,1.7308744008063365e7,1.7742941413805462e7,1.7514570564914916e7,6.794696035938931e6,20500.,1.5099891007267479e7,1.0152737378297202e7,1.768329274806266e7,1.7874543065532915e7,1.7633696883354034e7,7.027185309783277e6,20500.
28,1.5096519869154349e7,9.031943060049586e6,1.6716314352264842e7,1.67919763317155e7,1.6651910571923744e7,6.168409965181995e6,20500.,12369.006956418976,224019.51412110403,157633.33664660342,53284.08783946186,47742.97925646417,110007.12125325948,0.,4127,47594,10089,33378,37505,118904,4004,1.508415086219793e7,8.807923545928482e6,1.6558681015618239e7,1.673869224387604e7,1.660416759266728e7,6.058402843928736e6,20500.,1.5108888876110768e7,9.25596257417069e6,1.6873947688911445e7,1.6845260419554964e7,1.6699653551180208e7,6.278417086435255e6,20500.
32,1.5087570285991276e7,9.105452797584761e6,1.6611573487596823e7,1.6715240686247293e7,1.6594465403008867e7,6.439210422065596e6,20500.,10085.423414018005,237726.18499112874,150927.59544341452,48992.34784176573,44234.43397079781,117905.98906654213,0.,4126,50347,10199,36022,40148,121166,4004,1.5077484862577258e7,8.867726612593632e6,1.6460645892153408e7,1.6666248338405527e7,1.655023096903807e7,6.321304432999054e6,20500.,1.5097655709405294e7,9.34317898257589e6,1.6762501083040237e7,1.6764233034089059e7,1.6638699836979665e7,6.557116411132138e6,20500.
40,1.5089942815604554e7,8.66609112087463e6,1.6241189646639612e7,1.6180506036420215e7,1.6111105786315762e7,6.037310235578802e6,20500.,10322.931934261695,247953.87880526483,157652.04807558097,40684.831758027896,36530.655265618116,117986.73828052636,0.,4127,48935,10103,34706,38833,120257,4004,1.5079619883670293e7,8.418137242069365e6,1.608353759856403e7,1.6139821204662187e7,1.6074575131050143e7,5.919323497298276e6,20500.,1.5100265747538816e7,8.914044999679895e6,1.6398841694715193e7,1.6221190868178243e7,1.614763644158138e7,6.155296973859329e6,20500.
48,1.5093962442452144e7,7.3664378190946225e6,1.5911577632512415e7,1.5731700408905042e7,1.5707338727047548e7,5.257430522037875e6,20500.,11324.441047601402,180542.70538853295,104726.6448249612,36025.155866947025,32111.525073489174,88055.28585661855,0.,4127,47008,9867,33015,37142,119340,4004,1.5082638001404542e7,7.18589511370609e6,1.5806850987687454e7,1.5695675253038095e7,1.5675227201974059e7,5.169375236181256e6,20500.,1.5105286883499745e7,7.546980524483155e6,1.6016304277337376e7,1.576772556477199e7,1.5739450252121037e7,5.345485807894493e6,20500.
56,1.5086391325417979e7,7.195547251943909e6,1.5650740226023214e7,1.5421869345686533e7,1.542917008776897e7,5.15757147093458e6,20500.,9233.661548083648,192579.35889414325,97508.17186367698,28901.557813368738,25571.851831125095,90839.41647460684,0.,4127,45141,9822,31193,35320,116341,4004,1.5077157663869895e7,7.002967893049765e6,1.5553232054159537e7,1.5392967787873164e7,1.5403598235937845e7,5.066732054459973e6,20500.,1.5095624986966062e7,7.388126610838052e6,1.574824839788689e7,1.5450770903499901e7,1.5454741939600095e7,5.248410887409187e6,20500.
64,1.50799724981827e7,7.391280518367078e6,1.5554840004073735e7,1.5248730368068986e7,1.5275705172413792e7,5.169611110638153e6,20500.,7073.248223040253,218636.3751427522,86371.49433087371,29457.122772714123,26067.648881526664,99181.58025988005,0.,4127,45489,9819,31543,35670,117464,4004,1.5072899249959659e7,7.172644143224326e6,1.5468468509742862e7,1.5219273245296272e7,1.5249637523532266e7,5.070429530378273e6,20500.,1.508704574640574e7,7.60991689350983e6,1.5641211498404609e7,1.52781874908417e7,1.530177282129532e7,5.268792690898033e6,20500.
80,1.5087295008480737e7,7.565547241017396e6,1.5475324322943281e7,1.5194063656095112e7,1.522797266830495e7,5.224594625653433e6,20500.,9803.991313941777,236803.3396132607,108606.49064609036,24104.067673098296,21295.835578439757,105563.56646173727,0.,4127,44781,9785,30869,34996,115735,4004,1.5077491017166795e7,7.328743901404135e6,1.5366717832297191e7,1.5169959588422013e7,1.520667683272651e7,5.119031059191695e6,20500.,1.5097098999794679e7,7.802350580630656e6,1.5583930813589372e7,1.521816772376821e7,1.524926850388339e7,5.33015819211517e6,20500.
96,1.5081180276229708e7,7.454884114437134e6,1.5385667657916324e7,1.5061195435860628e7,1.5110066908191726e7,5.157250457910894e6,20500.,6031.298661114648,241085.47037380282,87935.93173259497,23760.93076131679,20953.562964510173,105872.5934528755,0.,4127,44531,9752,30652,34779,116289,4004,1.5075148977568593e7,7.213798644063331e6,1.529773172618373e7,1.5037434505099311e7,1.5089113345227215e7,5.051377864458019e6,20500.,1.5087211574890822e7,7.695969584810937e6,1.547360358964892e7,1.5084956366621945e7,1.5131020471156236e7,5.26312305136377e6,20500.
112,1.5077591492971402e7,7.997778394655123e6,1.5317414266542789e7,1.5057764393252945e7,1.5106756977452774e7,5.201932932359131e6,20500.,5057.576912887394,295184.7544884393,108901.33409143426,20426.321392735466,17869.72003597766,120604.48068727832,0.,4126,42508,9687,28694,32820,116882,4004,1.5072533916058514e7,7.702593640166684e6,1.5208512932451354e7,1.503733807186021e7,1.5088887257416796e7,5.081328451671853e6,20500.,1.5082649069884289e7,8.292963149143563e6,1.5426315600634223e7,1.507819071464568e7,1.5124626697488751e7,5.322537413046409e6,20500.
127,1.5076970067862336e7,6.986305455543359e6,1.5193458282145781e7,1.4973713789290791e7,1.503212053883346e7,4.950505859802848e6,20500.,4894.7460024133325,211632.5722877914,55369.66349338554,15549.959052359685,13772.573133403435,94140.02852183115,0.,4126,45550,9768,31655,35781,118690,4004,1.5072075321859922e7,6.774672883255567e6,1.5138088618652396e7,1.4958163830238432e7,1.5018347965700056e7,4.856365831281017e6,20500.,1.5081864813864749e7,7.19793802783115e6,1.5248827945639167e7,1.4989263748343151e7,1.5045893111966863e7,5.044645888324679e6,20500.
128,1.508103756665051e7,8.047307276258441e6,1.520816388490682e7,1.4876907815070746e7,1.4947809233399004e7,5.1428248163552815e6,20500.,5749.471795709804,303280.8557754941,77999.12965958193,19363.556496577337,17076.88227087818,123720.11113233306,0.,4126,44281,9766,30390,34516,119252,4004,1.50752880948548e7,7.744026420482947e6,1.5130164755247237e7,1.485754425857417e7,1.4930732351128126e7,5.019104705222948e6,20500.,1.508678703844622e7,8.350588132033935e6,1.5286163014566401e7,1.4896271371567324e7,1.4964886115669882e7,5.266544927487615e6,20500.
