pipes,activate_task,__schedule,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,Eactivate_task,E__schedule,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,Cactivate_task,C__schedule,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,ELactivate_task,EL__schedule,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,ERactivate_task,ER__schedule,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock
1,2.5261225517409302e7,3.1973563653324287e7,7.524921937250996e6,2.440666929334973e7,2.01016922783199e7,2.713198819290765e7,205004.7561207153,309390.95449138805,86399.33006452862,187850.29614166915,356478.95821106434,218279.29685892537,41070,58960,4016,52855,11785,37054,2.5056220761288587e7,3.16641726988329e7,7.438522607186467e6,2.4218818997208063e7,1.9745213320108835e7,2.6913708896048725e7,2.5466230273530018e7,3.2282954607815675e7,7.611321267315525e6,2.45945195894914e7,2.0458171236530963e7,2.7350267489766575e7
2,8.310702418449731e6,8.5879031887994e6,7.37114926305271e6,6.951596355234736e6,7.9484719647045685e6,8.41556543737827e6,27091.857735095546,53668.017058905214,17542.554607678205,32318.720377263613,38962.0864263447,31133.96294094622,27621,42712,4003,36573,8953,23618,8.283610560714635e6,8.534235171740495e6,7.353606708445032e6,6.919277634857472e6,7.909509878278224e6,8.384431474437324e6,8.337794276184826e6,8.641571205858305e6,7.388691817660389e6,6.983915075611999e6,7.987434051130913e6,8.446699400319217e6
3,7.969994953817625e6,8.269647597493037e6,7.371149512865351e6,6.612150524834975e6,7.703918758404303e6,8.015475933937931e6,20703.656085084192,50356.68477176037,17542.553285766393,29457.497707461007,29358.67887180019,23776.062716017477,28041,43080,4003,36964,8924,24038,7.94929129773254e6,8.219290912721276e6,7.353606959579584e6,6.582693027127514e6,7.674560079532503e6,7.991699871221914e6,7.990698609902709e6,8.320004282264797e6,7.388692066151117e6,6.641608022542436e6,7.7332774372761035e6,8.039251996653949e6
4,7.733279126653379e6,7.939435470245917e6,7.37114926305271e6,6.301359755095332e6,7.601740040399507e6,7.740337868769074e6,14553.387100012042,46431.83075003233,17542.554607678205,23895.303947909735,22316.158094335347,16664.277948454022,27595,42616,4003,36504,8911,23592,7.718725739553367e6,7.893003639495885e6,7.353606708445032e6,6.277464451147422e6,7.579423882305171e6,7.72367359082062e6,7.747832513753391e6,7.98586730099595e6,7.388691817660389e6,6.325255059043242e6,7.624056198493842e6,7.757002146717528e6
6,7.588333302224876e6,7.769000155420592e6,7.37114926305271e6,6.131913452651038e6,7.462653263795424e6,7.571159806029754e6,11960.533518730663,45066.587757151574,17542.554607678205,21620.01248053182,15307.901996313594,13712.677774989977,26788,41822,4003,35703,8916,22787,7.576372768706146e6,7.7239335676634405e6,7.353606708445032e6,6.110293440170506e6,7.447345361799111e6,7.557447128254764e6,7.600293835743607e6,7.814066743177744e6,7.388691817660389e6,6.15353346513157e6,7.477961165791738e6,7.584872483804744e6
8,7.536172258740248e6,7.721105751434931e6,7.37114926305271e6,6.079083481495664e6,7.433097666816953e6,7.509703820983745e6,11373.874080945738,44453.767614554614,17542.554607678205,21336.981589339674,13466.368327528238,12944.399149627425,27688,42685,4003,36559,8872,23685,7.524798384659302e6,7.676651983820376e6,7.353606708445032e6,6.057746499906325e6,7.419631298489424e6,7.496759421834118e6,7.547546132821194e6,7.765559519049485e6,7.388691817660389e6,6.100420463085004e6,7.446564035144481e6,7.522648220133373e6
10,7.485399646668852e6,7.721870127564907e6,7.387919935048713e6,6.07062508258093e6,7.40949340919333e6,7.447602068230277e6,8210.502734811045,44275.053182493895,19126.817659452558,22458.128311521374,12075.45843814779,9036.364790368825,27453,42253,4003,36328,8876,23450,7.477189143934041e6,7.677595074382413e6,7.368793117389261e6,6.048166954269408e6,7.397417950755183e6,7.438565703439908e6,7.493610149403663e6,7.766145180747401e6,7.407046752708166e6,6.093083210892451e6,7.421568867631478e6,7.456638433020646e6
12,7.505598158848653e6,7.740612483882312e6,7.387919935048713e6,6.067596112487409e6,7.394126141359486e6,7.471039752724225e6,9857.927003691904,44289.29990294017,19126.817659452558,22170.293668455444,10907.372315086424,11048.733907934278,27863,42655,4003,36733,8871,23860,7.495740231844961e6,7.696323183979372e6,7.368793117389261e6,6.045425818818954e6,7.383218769044399e6,7.45999101881629e6,7.5154560858523445e6,7.784901783785252e6,7.407046752708166e6,6.089766406155865e6,7.405033513674572e6,7.482088486632159e6
14,7.445470171229142e6,7.657515935078435e6,7.387919935048713e6,6.015361987966702e6,7.37925952996739e6,7.400852152825051e6,6969.557099875063,43461.493027280085,19126.817659452558,21337.845201602206,9029.960004183464,7478.161011459306,27507,42328,4003,36399,8893,23504,7.438500614129267e6,7.614054442051155e6,7.368793117389261e6,5.9940241427651e6,7.370229569963207e6,7.393373991813592e6,7.452439728329017e6,7.700977428105715e6,7.407046752708166e6,6.0366998331683045e6,7.388289489971573e6,7.40833031383651e6
16,7.419097063592145e6,7.625992568154601e6,7.387920184861354e6,5.992449403380389e6,7.360766290868095e6,7.369398227666919e6,5831.213221811689,43265.52243741881,19126.816236654297,21611.27314074803,7499.892230707221,6063.321445344947,27755,42587,4003,36623,8870,23754,7.4132658503703335e6,7.582727045717183e6,7.368793368624699e6,5.970838130239641e6,7.353266398637388e6,7.363334906221574e6,7.424928276813957e6,7.66925809059202e6,7.407047001098008e6,6.014060676521137e6,7.368266183098802e6,7.375461549112264e6
