nas,label,cobas,Ecobas,cfs,Ecfs,ratio,count
bt,BT~A,14.8402,0.02086429835936876,14.5068,0.017075381445369686,0.977533995498713,50
cg,CG~A,0.505,0.014652444812889742,0.47039999999999993,0.0005625638777941866,0.9314851485148513,50
ep,EP~A,2.1444,0.0017377366589563792,2.1326,0.002209600479260221,0.9944972952807312,50
ft,FT~A,0.9168000000000001,0.0021049212888808455,0.9032000000000001,0.0013391698899168913,0.9851657940663178,50
is,IS~A,0.1606,0.0006817823947232182,0.16,0.,0.9962640099626401,50
lu,LU~A,9.0698,0.016009716153870812,9.0084,0.026444990416981895,0.9932302807118127,50
mg,MG~A,0.7728,0.007263576209737388,0.7604000000000001,0.000803830094851743,0.9839544513457558,50
sp,SP~A,15.1556,0.022576854961636528,15.1226,0.019780024476535374,0.9978225870305367,50
ua,UA~A,12.731399999999999,0.0324644629997497,12.312000000000001,0.0176969339025419,0.9670578255337199,50
