nas,label,cobas,Ecobas,cfs,Ecfs,ratio,count
bt,BT~B,65.0458,0.06675902046828242,64.5306,0.16603519738663408,0.9920794271113585,50
cg,CG~B,21.146400000000003,0.03368422174193242,20.999200000000002,0.023279089937595643,0.9930390042749593,50
ep,EP~B,8.5524,0.005583287068114728,8.523399999999999,0.00868128148156444,0.9966091389551469,50
ft,FT~B,11.720999999999998,0.022932457790584948,11.623,0.01212900962621255,0.9916389386571113,50
is,IS~B,0.7173999999999999,0.0016045813611074156,0.7134,0.0013599334520021378,0.9944243100083637,50
lu,LU~B,58.95179999999999,0.3289283750726568,59.2794,0.3227428903575529,1.005557082226497,50
mg,MG~B,3.6014,0.013180917876673526,3.5671999999999993,0.0036782386388867216,0.9905036930082745,50
sp,SP~B,100.6054,0.13744037548727306,100.55120000000001,0.11448301615986622,0.9994612615227414,50
ua,UA~B,59.06379999999999,0.084544389915294,58.3484,0.08408001313522817,0.9878876740067521,50
