nas,label,cobas,Ecobas,cfs,Ecfs,ratio,count
bt,BT~C,265.0152,0.09592367119194023,264.1236,0.19637408023476155,0.9966356646713095,50
cg,CG~C,60.520599999999995,0.017941235030079383,60.093999999999994,0.01467211819159786,0.9929511604313241,50
ep,EP~C,34.188,0.024366496123313652,34.0668,0.02390510376199728,0.9964548964548964,50
is,IS~C,3.045,0.0018382228439723924,3.0394,0.0020226564182901363,0.9981609195402299,50
lu,LU~C,384.9274,0.059919242848820886,383.92699999999996,0.11213894319286055,0.9974010683573058,50
sp,SP~C,476.18240000000003,0.05450498387398284,475.31460000000004,0.1072861239738927,0.998177589091911,50
